"Metrics/step_episode","edqn_2024-12-11_13-29-49 - _step","edqn_2024-12-11_13-29-49 - _step__MIN","edqn_2024-12-11_13-29-49 - _step__MAX","edqn_2024-12-11_13-29-49 - Metrics/EpProgress","edqn_2024-12-11_13-29-49 - Metrics/EpProgress__MIN","edqn_2024-12-11_13-29-49 - Metrics/EpProgress__MAX","no_dueling_2024-12-10_13-06-23 - _step","no_dueling_2024-12-10_13-06-23 - _step__MIN","no_dueling_2024-12-10_13-06-23 - _step__MAX","no_dueling_2024-12-10_13-06-23 - Metrics/EpProgress","no_dueling_2024-12-10_13-06-23 - Metrics/EpProgress__MIN","no_dueling_2024-12-10_13-06-23 - Metrics/EpProgress__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Metrics/EpProgress","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Metrics/EpProgress__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Metrics/EpProgress__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Metrics/EpProgress","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Metrics/EpProgress__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Metrics/EpProgress__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Metrics/EpProgress","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Metrics/EpProgress__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Metrics/EpProgress__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Metrics/EpProgress","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Metrics/EpProgress__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Metrics/EpProgress__MAX"
"24","24","24","24","0","0","0","24","24","24","0","0","0","","","","","","","","","","","","","","","","","","","24","24","24","0","0","0"
"25","","","","","","","","","","","","","","","","","","","","","","","","","25","25","25","0.8","0.8","0.8","25","25","25","0.8","0.8","0.8"
"26","26","26","26","0","0","0","26","26","26","0","0","0","52","52","52","0","0","0","26","26","26","0","0","0","26","26","26","0","0","0","","","","","",""
"27","","","","","","","","","","","","","","","","","","","27","27","27","1","1","1","","","","","","","","","","","",""
"28","","","","","","","28","28","28","0.8","0.8","0.8","56","56","56","1","1","1","28","28","28","0.8","0.8","0.8","28","28","28","0.8","0.8","0.8","28","28","28","0.8","0.8","0.8"
"29","","","","","","","29","29","29","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"30","","","","","","","30","30","30","0","0","0","62","62","62","1","1","1","","","","","","","30","30","30","0","0","0","","","","","",""
"31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31","31","31","0.8","0.8","0.8"
"32","32","32","32","0","0","0","","","","","","","","","","","","","32","32","32","0","0","0","32","32","32","0","0","0","","","","","",""
"33","33","33","33","0","0","0","33","33","33","0","0","0","71","71","71","0","0","0","","","","","","","33","33","33","0","0","0","","","","","",""
"34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","0.8","0.8","0.8"
"35","35","35","35","0","0","0","35","35","35","0","0","0","","","","","","","35","35","35","0","0","0","","","","","","","","","","","",""
"36","36","36","36","1","1","1","36","36","36","1","1","1","","","","","","","36","36","36","1","1","1","36","36","36","1","1","1","36","36","36","1","1","1"
"37","","","","","","","37","37","37","0.8","0.8","0.8","","","","","","","37","37","37","0.8","0.8","0.8","37","37","37","0.8","0.8","0.8","37","37","37","0.8","0.8","0.8"
"38","38","38","38","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","0","0","0"
"39","39","39","39","0","0","0","39","39","39","0","0","0","85","85","85","1","1","1","39","39","39","0","0","0","39","39","39","0","0","0","39","39","39","0","0","0"
"40","","","","","","","40","40","40","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","",""
"41","41","41","41","0","0","0","41","41","41","0","0","0","91","91","91","0","0","0","41","41","41","0","0","0","","","","","","","","","","","",""
"42","42","42","42","0","0","0","","","","","","","","","","","","","42","42","42","0","0","0","42","42","42","0","0","0","42","42","42","0","0","0"
"43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43","43","43","0.8","0.8","0.8"
"44","","","","","","","44","44","44","0","0","0","","","","","","","44","44","44","0","0","0","","","","","","","","","","","",""
"45","45","45","45","1","1","1","","","","","","","101","101","101","0","0","0","45","45","45","1","1","1","","","","","","","45","45","45","1","1","1"
"46","48","48","48","0","0","0","48","48","48","0","0","0","","","","","","","","","","","","","48","48","48","1","1","1","48","48","48","1","1","1"
"47","49","49","49","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","50","50","50","0","0","0","","","","","","","108","108","108","1","1","1","50","50","50","1","1","1","","","","","","","","","","","",""
"49","51","51","51","1","1","1","","","","","","","111","111","111","0","0","0","51","51","51","1","1","1","","","","","","","51","51","51","1","1","1"
"50","","","","","","","","","","","","","","","","","","","52","52","52","1","1","1","52","52","52","1","1","1","","","","","",""
"51","","","","","","","53","53","53","1","1","1","","","","","","","","","","","","","55","55","55","1","1","1","55","55","55","1","1","1"
"52","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56","56","56","1","1","1"
"53","","","","","","","","","","","","","","","","","","","57","57","57","1","1","1","","","","","","","","","","","",""
"54","56","56","56","0","0","0","56","56","56","0","0","0","","","","","","","58","58","58","1","1","1","58","58","58","1","1","1","58","58","58","1","1","1"
"55","","","","","","","57","57","57","1","1","1","","","","","","","","","","","","","59","59","59","1","1","1","59","59","59","1","1","1"
"56","","","","","","","","","","","","","","","","","","","","","","","","","62","62","62","0.8","0.8","0.8","62","62","62","0.8","0.8","0.8"
"57","","","","","","","61","61","61","1","1","1","","","","","","","","","","","","","63","63","63","1","1","1","","","","","",""
"58","","","","","","","62","62","62","1","1","1","134","134","134","1","1","1","","","","","","","64","64","64","0.8","0.8","0.8","64","64","64","0.8","0.8","0.8"
"59","","","","","","","63","63","63","1","1","1","","","","","","","","","","","","","65","65","65","1","1","1","","","","","",""
"60","64","64","64","1","1","1","64","64","64","1","1","1","","","","","","","","","","","","","66","66","66","0.8","0.8","0.8","","","","","",""
"61","67","67","67","1","1","1","","","","","","","141","141","141","1","1","1","67","67","67","1","1","1","67","67","67","1","1","1","","","","","",""
"62","68","68","68","1","1","1","68","68","68","1","1","1","144","144","144","1","1","1","68","68","68","0.8","0.8","0.8","","","","","","","","","","","",""
"63","69","69","69","1","1","1","","","","","","","","","","","","","69","69","69","1","1","1","","","","","","","","","","","",""
"64","70","70","70","1","1","1","70","70","70","1","1","1","","","","","","","70","70","70","0.8","0.8","0.8","","","","","","","","","","","",""
"66","","","","","","","74","74","74","0","0","0","","","","","","","","","","","","","74","74","74","0","0","0","74","74","74","0","0","0"
"67","","","","","","","75","75","75","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"68","","","","","","","","","","","","","","","","","","","76","76","76","1","1","1","","","","","","","","","","","",""
"69","77","77","77","1","1","1","77","77","77","1","1","1","","","","","","","","","","","","","77","77","77","0","0","0","77","77","77","0","0","0"
"71","","","","","","","","","","","","","","","","","","","","","","","","","79","79","79","1","1","1","79","79","79","1","1","1"
"72","","","","","","","","","","","","","170","170","170","1","1","1","","","","","","","80","80","80","0","0","0","80","80","80","0","0","0"
"73","","","","","","","","","","","","","","","","","","","81","81","81","0.8","0.8","0.8","","","","","","","","","","","",""
"74","","","","","","","82","82","82","0","0","0","","","","","","","","","","","","","","","","","","","","","","","",""
"75","","","","","","","83","83","83","1","1","1","177","177","177","0","0","0","","","","","","","","","","","","","83","83","83","0","0","0"
"76","86","86","86","1","1","1","","","","","","","","","","","","","","","","","","","84","84","84","0.8","0.8","0.8","84","84","84","0.8","0.8","0.8"
"77","87","87","87","1","1","1","","","","","","","","","","","","","85","85","85","1","1","1","","","","","","","","","","","",""
"78","88","88","88","1","1","1","88","88","88","1","1","1","182","182","182","0","0","0","86","86","86","0","0","0","86","86","86","0","0","0","","","","","",""
"79","","","","","","","89","89","89","1","1","1","183","183","183","1","1","1","","","","","","","","","","","","","","","","","",""
"80","90","90","90","1","1","1","90","90","90","1","1","1","","","","","","","88","88","88","1","1","1","","","","","","","","","","","",""
"81","93","93","93","1","1","1","93","93","93","1","1","1","","","","","","","91","91","91","1","1","1","","","","","","","","","","","",""
"82","","","","","","","","","","","","","192","192","192","0","0","0","","","","","","","","","","","","","","","","","",""
"83","","","","","","","95","95","95","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"84","","","","","","","","","","","","","","","","","","","94","94","94","1","1","1","","","","","","","94","94","94","1","1","1"
"85","","","","","","","97","97","97","1","1","1","","","","","","","95","95","95","1","1","1","","","","","","","95","95","95","1","1","1"
"86","","","","","","","100","100","100","1","1","1","","","","","","","98","98","98","1","1","1","98","98","98","1","1","1","98","98","98","1","1","1"
"87","","","","","","","101","101","101","1","1","1","","","","","","","99","99","99","1","1","1","99","99","99","1","1","1","99","99","99","1","1","1"
"88","","","","","","","","","","","","","","","","","","","100","100","100","1","1","1","","","","","","","100","100","100","1","1","1"
"89","","","","","","","","","","","","","209","209","209","0.8","0.8","0.8","","","","","","","","","","","","","","","","","",""
"90","104","104","104","1","1","1","104","104","104","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"91","","","","","","","","","","","","","211","211","211","0.8","0.8","0.8","105","105","105","0","0","0","","","","","","","","","","","",""
"92","108","108","108","1","1","1","","","","","","","","","","","","","106","106","106","1","1","1","","","","","","","106","106","106","1","1","1"
"93","","","","","","","","","","","","","","","","","","","","","","","","","107","107","107","0","0","0","","","","","",""
"94","","","","","","","","","","","","","","","","","","","","","","","","","108","108","108","1","1","1","108","108","108","1","1","1"
"95","111","111","111","1","1","1","111","111","111","1","1","1","215","215","215","0","0","0","109","109","109","0","0","0","","","","","","","109","109","109","0","0","0"
"96","","","","","","","","","","","","","","","","","","","110","110","110","1","1","1","","","","","","","","","","","",""
"98","","","","","","","116","116","116","1","1","1","","","","","","","","","","","","","112","112","112","1","1","1","","","","","",""
"99","117","117","117","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","113","113","113","0","0","0"
"100","118","118","118","1","1","1","","","","","","","224","224","224","1","1","1","","","","","","","114","114","114","1","1","1","","","","","",""
"101","121","121","121","0","0","0","","","","","","","227","227","227","1","1","1","","","","","","","","","","","","","117","117","117","1","1","1"
"102","","","","","","","","","","","","","","","","","","","118","118","118","1","1","1","","","","","","","118","118","118","1","1","1"
"103","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119","119","119","1","1","1"
"104","","","","","","","","","","","","","234","234","234","1","1","1","120","120","120","1","1","1","120","120","120","1","1","1","120","120","120","1","1","1"
"106","","","","","","","","","","","","","","","","","","","124","124","124","1","1","1","124","124","124","1","1","1","","","","","",""
"107","","","","","","","","","","","","","243","243","243","1","1","1","","","","","","","","","","","","","125","125","125","1","1","1"
"108","128","128","128","1","1","1","128","128","128","1","1","1","","","","","","","","","","","","","126","126","126","1","1","1","","","","","",""
"109","129","129","129","0","0","0","129","129","129","0","0","0","249","249","249","1","1","1","","","","","","","","","","","","","127","127","127","1","1","1"
"110","130","130","130","1","1","1","130","130","130","1","1","1","252","252","252","1","1","1","128","128","128","1","1","1","","","","","","","128","128","128","1","1","1"
"111","","","","","","","","","","","","","","","","","","","","","","","","","131","131","131","0.8","0.8","0.8","","","","","",""
"112","134","134","134","1","1","1","","","","","","","","","","","","","","","","","","","132","132","132","1","1","1","","","","","",""
"114","","","","","","","","","","","","","","","","","","","134","134","134","1","1","1","","","","","","","","","","","",""
"115","137","137","137","1","1","1","137","137","137","1","1","1","265","265","265","1","1","1","135","135","135","0.8","0.8","0.8","","","","","","","135","135","135","0.8","0.8","0.8"
"116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","136","136","136","1","1","1"
"117","141","141","141","1","1","1","","","","","","","269","269","269","1","1","1","137","137","137","0.8","0.8","0.8","137","137","137","0.8","0.8","0.8","137","137","137","0.8","0.8","0.8"
"118","","","","","","","142","142","142","1","1","1","272","272","272","1","1","1","","","","","","","","","","","","","","","","","",""
"119","143","143","143","1","1","1","","","","","","","","","","","","","","","","","","","139","139","139","0.8","0.8","0.8","","","","","",""
"120","144","144","144","1","1","1","144","144","144","1","1","1","278","278","278","1","1","1","140","140","140","1","1","1","140","140","140","1","1","1","140","140","140","1","1","1"
"121","","","","","","","","","","","","","","","","","","","143","143","143","1","1","1","","","","","","","","","","","",""
"122","","","","","","","","","","","","","","","","","","","144","144","144","1","1","1","144","144","144","1","1","1","144","144","144","1","1","1"
"123","","","","","","","","","","","","","287","287","287","0","0","0","145","145","145","1","1","1","145","145","145","1","1","1","145","145","145","1","1","1"
"124","150","150","150","1","1","1","150","150","150","1","1","1","","","","","","","","","","","","","146","146","146","1","1","1","146","146","146","1","1","1"
"125","","","","","","","151","151","151","0","0","0","291","291","291","0.8","0.8","0.8","147","147","147","1","1","1","147","147","147","1","1","1","","","","","",""
"126","","","","","","","","","","","","","292","292","292","1","1","1","","","","","","","150","150","150","1","1","1","150","150","150","1","1","1"
"127","","","","","","","153","153","153","0","0","0","295","295","295","1","1","1","","","","","","","","","","","","","","","","","",""
"128","","","","","","","","","","","","","298","298","298","0","0","0","152","152","152","1","1","1","152","152","152","1","1","1","","","","","",""
"129","","","","","","","","","","","","","","","","","","","153","153","153","1","1","1","153","153","153","1","1","1","","","","","",""
"130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","154","154","154","1","1","1"
"131","","","","","","","","","","","","","303","303","303","1","1","1","157","157","157","0","0","0","","","","","","","","","","","",""
"132","160","160","160","1","1","1","","","","","","","","","","","","","158","158","158","1","1","1","","","","","","","","","","","",""
"133","","","","","","","161","161","161","1","1","1","","","","","","","","","","","","","","","","","","","159","159","159","0","0","0"
"134","162","162","162","1","1","1","162","162","162","1","1","1","","","","","","","160","160","160","1","1","1","","","","","","","","","","","",""
"135","163","163","163","1","1","1","163","163","163","1","1","1","","","","","","","161","161","161","0","0","0","","","","","","","","","","","",""
"136","","","","","","","166","166","166","1","1","1","","","","","","","","","","","","","162","162","162","1","1","1","","","","","",""
"137","","","","","","","","","","","","","319","319","319","1","1","1","","","","","","","","","","","","","","","","","",""
"138","168","168","168","1","1","1","168","168","168","1","1","1","","","","","","","","","","","","","164","164","164","1","1","1","164","164","164","1","1","1"
"139","","","","","","","","","","","","","325","325","325","1","1","1","165","165","165","0","0","0","","","","","","","","","","","",""
"140","","","","","","","","","","","","","","","","","","","","","","","","","166","166","166","1","1","1","","","","","",""
"141","173","173","173","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"142","","","","","","","174","174","174","1","1","1","","","","","","","","","","","","","","","","","","","170","170","170","1","1","1"
"143","","","","","","","175","175","175","1","1","1","","","","","","","171","171","171","1","1","1","171","171","171","1","1","1","","","","","",""
"144","","","","","","","","","","","","","338","338","338","0.8","0.8","0.8","172","172","172","1","1","1","","","","","","","","","","","",""
"145","","","","","","","","","","","","","","","","","","","173","173","173","1","1","1","","","","","","","173","173","173","1","1","1"
"146","180","180","180","1","1","1","","","","","","","342","342","342","1","1","1","","","","","","","","","","","","","","","","","",""
"147","181","181","181","1","1","1","","","","","","","","","","","","","177","177","177","1","1","1","177","177","177","1","1","1","","","","","",""
"149","183","183","183","1","1","1","183","183","183","1","1","1","349","349","349","1","1","1","","","","","","","","","","","","","179","179","179","1","1","1"
"150","184","184","184","1","1","1","","","","","","","","","","","","","","","","","","","180","180","180","1","1","1","","","","","",""
"151","187","187","187","1","1","1","","","","","","","","","","","","","183","183","183","1","1","1","183","183","183","1","1","1","","","","","",""
"152","188","188","188","1","1","1","188","188","188","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"153","189","189","189","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","185","185","185","1","1","1"
"154","190","190","190","1","1","1","190","190","190","1","1","1","362","362","362","1","1","1","","","","","","","","","","","","","","","","","",""
"155","191","191","191","1","1","1","","","","","","","365","365","365","0.8","0.8","0.8","187","187","187","1","1","1","187","187","187","1","1","1","","","","","",""
"156","","","","","","","","","","","","","366","366","366","1","1","1","","","","","","","190","190","190","1","1","1","190","190","190","1","1","1"
"158","196","196","196","0","0","0","","","","","","","372","372","372","1","1","1","192","192","192","1","1","1","","","","","","","192","192","192","1","1","1"
"159","197","197","197","1","1","1","197","197","197","1","1","1","375","375","375","1","1","1","","","","","","","193","193","193","1","1","1","","","","","",""
"160","198","198","198","0","0","0","198","198","198","0","0","0","378","378","378","0","0","0","194","194","194","1","1","1","194","194","194","1","1","1","","","","","",""
"161","","","","","","","199","199","199","1","1","1","379","379","379","1","1","1","","","","","","","","","","","","","197","197","197","1","1","1"
"162","200","200","200","0","0","0","200","200","200","0","0","0","","","","","","","198","198","198","1","1","1","","","","","","","","","","","",""
"163","","","","","","","","","","","","","","","","","","","","","","","","","199","199","199","1","1","1","","","","","",""
"164","202","202","202","0","0","0","202","202","202","0","0","0","","","","","","","200","200","200","1","1","1","","","","","","","200","200","200","1","1","1"
"165","203","203","203","1","1","1","","","","","","","","","","","","","201","201","201","1","1","1","201","201","201","1","1","1","","","","","",""
"166","","","","","","","","","","","","","","","","","","","204","204","204","0","0","0","","","","","","","204","204","204","0","0","0"
"167","207","207","207","1","1","1","207","207","207","1","1","1","393","393","393","1","1","1","205","205","205","1","1","1","","","","","","","","","","","",""
"168","","","","","","","","","","","","","396","396","396","1","1","1","","","","","","","206","206","206","0","0","0","","","","","",""
"169","209","209","209","1","1","1","209","209","209","1","1","1","","","","","","","","","","","","","","","","","","","207","207","207","1","1","1"
"170","","","","","","","210","210","210","1","1","1","402","402","402","1","1","1","208","208","208","0","0","0","","","","","","","","","","","",""
"171","213","213","213","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","209","209","209","1","1","1"
"172","214","214","214","1","1","1","214","214","214","1","1","1","408","408","408","0","0","0","","","","","","","","","","","","","210","210","210","0","0","0"
"173","215","215","215","1","1","1","215","215","215","1","1","1","","","","","","","","","","","","","211","211","211","1","1","1","","","","","",""
"174","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","212","212","212","0","0","0"
"176","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","216","216","216","1","1","1"
"177","221","221","221","1","1","1","221","221","221","1","1","1","","","","","","","","","","","","","217","217","217","1","1","1","","","","","",""
"178","","","","","","","222","222","222","0.8","0.8","0.8","","","","","","","218","218","218","1","1","1","","","","","","","","","","","",""
"179","","","","","","","223","223","223","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"181","225","225","225","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"182","","","","","","","","","","","","","436","436","436","0","0","0","","","","","","","","","","","","","224","224","224","1","1","1"
"183","","","","","","","227","227","227","1","1","1","437","437","437","1","1","1","225","225","225","1","1","1","225","225","225","1","1","1","225","225","225","1","1","1"
"184","228","228","228","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"185","","","","","","","","","","","","","","","","","","","227","227","227","1","1","1","227","227","227","1","1","1","227","227","227","1","1","1"
"186","","","","","","","","","","","","","","","","","","","","","","","","","230","230","230","0","0","0","230","230","230","0","0","0"
"187","","","","","","","","","","","","","","","","","","","","","","","","","231","231","231","1","1","1","231","231","231","1","1","1"
"188","","","","","","","","","","","","","","","","","","","232","232","232","0","0","0","","","","","","","232","232","232","0","0","0"
"189","","","","","","","","","","","","","","","","","","","","","","","","","233","233","233","1","1","1","","","","","",""
"191","","","","","","","","","","","","","","","","","","","235","235","235","1","1","1","","","","","","","","","","","",""
"192","","","","","","","","","","","","","458","458","458","1","1","1","","","","","","","236","236","236","0","0","0","236","236","236","0","0","0"
"193","","","","","","","","","","","","","461","461","461","1","1","1","","","","","","","","","","","","","237","237","237","1","1","1"
"194","242","242","242","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239","239","239","1","1","1"
"196","","","","","","","246","246","246","0.8","0.8","0.8","468","468","468","1","1","1","","","","","","","","","","","","","242","242","242","1","1","1"
"197","247","247","247","1","1","1","247","247","247","1","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
"198","","","","","","","","","","","","","","","","","","","","","","","","","244","244","244","1","1","1","244","244","244","1","1","1"
"199","","","","","","","","","","","","","","","","","","","","","","","","","245","245","245","1","1","1","","","","","",""
"200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","246","246","246","1","1","1"
"201","251","251","251","1","1","1","","","","","","","","","","","","","249","249","249","0.8","0.8","0.8","","","","","","","","","","","",""
"202","","","","","","","252","252","252","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","250","250","250","0","0","0"
"203","","","","","","","","","","","","","","","","","","","","","","","","","251","251","251","0","0","0","","","","","",""
"204","254","254","254","0.8","0.8","0.8","","","","","","","","","","","","","","","","","","","","","","","","","252","252","252","1","1","1"
"205","","","","","","","255","255","255","1","1","1","487","487","487","0.8","0.8","0.8","","","","","","","","","","","","","253","253","253","0.8","0.8","0.8"
"206","","","","","","","","","","","","","488","488","488","1","1","1","254","254","254","0","0","0","254","254","254","0","0","0","","","","","",""
