"Evaluate/step_episode","no_spatial_rainbowmini_2024-12-23_18-12-29 - _step","no_spatial_rainbowmini_2024-12-23_18-12-29 - _step__MIN","no_spatial_rainbowmini_2024-12-23_18-12-29 - _step__MAX","no_spatial_rainbowmini_2024-12-23_18-12-29 - Evaluate/EpProgress","no_spatial_rainbowmini_2024-12-23_18-12-29 - Evaluate/EpProgress__MIN","no_spatial_rainbowmini_2024-12-23_18-12-29 - Evaluate/EpProgress__MAX","edqn_2024-12-11_13-29-49 - _step","edqn_2024-12-11_13-29-49 - _step__MIN","edqn_2024-12-11_13-29-49 - _step__MAX","edqn_2024-12-11_13-29-49 - Evaluate/EpProgress","edqn_2024-12-11_13-29-49 - Evaluate/EpProgress__MIN","edqn_2024-12-11_13-29-49 - Evaluate/EpProgress__MAX","no_dueling_2024-12-10_13-06-23 - _step","no_dueling_2024-12-10_13-06-23 - _step__MIN","no_dueling_2024-12-10_13-06-23 - _step__MAX","no_dueling_2024-12-10_13-06-23 - Evaluate/EpProgress","no_dueling_2024-12-10_13-06-23 - Evaluate/EpProgress__MIN","no_dueling_2024-12-10_13-06-23 - Evaluate/EpProgress__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - _step__MAX","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Evaluate/EpProgress","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Evaluate/EpProgress__MIN","noe_FactoryTaskAllocationMiC_2024-12-09_21-42-46 - Evaluate/EpProgress__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Evaluate/EpProgress","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Evaluate/EpProgress__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Evaluate/EpProgress__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpProgress","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpProgress__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpProgress__MAX"
"14","6029","6029","6029","1","1","1","5777","5777","5777","1","1","1","5782","5782","5782","1","1","1","10667","10667","10667","0.8","0.8","0.8","6093","6093","6093","1","1","1","6089","6089","6089","1","1","1","6097","6097","6097","1","1","1"
"15","6031","6031","6031","0","0","0","5779","5779","5779","1","1","1","5784","5784","5784","0","0","0","10669","10669","10669","1","1","1","6095","6095","6095","1","1","1","6091","6091","6091","1","1","1","6099","6099","6099","1","1","1"
"16","6033","6033","6033","1","1","1","5781","5781","5781","1","1","1","5786","5786","5786","1","1","1","10671","10671","10671","1","1","1","6097","6097","6097","1","1","1","6093","6093","6093","1","1","1","6101","6101","6101","1","1","1"
"17","6035","6035","6035","1","1","1","5783","5783","5783","1","1","1","5788","5788","5788","1","1","1","10673","10673","10673","1","1","1","6099","6099","6099","1","1","1","6095","6095","6095","1","1","1","6103","6103","6103","1","1","1"
"18","6199","6199","6199","0","0","0","5947","5947","5947","0","0","0","5958","5958","5958","0","0","0","10986","10986","10986","0","0","0","6261","6261","6261","0","0","0","6260","6260","6260","0","0","0","6267","6267","6267","0","0","0"
"19","6201","6201","6201","1","1","1","5949","5949","5949","1","1","1","5960","5960","5960","1","1","1","10988","10988","10988","1","1","1","6263","6263","6263","1","1","1","6262","6262","6262","1","1","1","6269","6269","6269","1","1","1"
"20","6203","6203","6203","1","1","1","5951","5951","5951","1","1","1","5962","5962","5962","1","1","1","10990","10990","10990","1","1","1","6265","6265","6265","1","1","1","6264","6264","6264","1","1","1","6271","6271","6271","1","1","1"
"21","6205","6205","6205","1","1","1","5953","5953","5953","0","0","0","5964","5964","5964","0","0","0","10992","10992","10992","0","0","0","6267","6267","6267","1","1","1","6266","6266","6266","0","0","0","6273","6273","6273","1","1","1"
"22","6207","6207","6207","1","1","1","5955","5955","5955","1","1","1","5966","5966","5966","1","1","1","10994","10994","10994","1","1","1","6269","6269","6269","1","1","1","6268","6268","6268","1","1","1","6275","6275","6275","1","1","1"
"23","6209","6209","6209","1","1","1","5957","5957","5957","1","1","1","5968","5968","5968","1","1","1","10996","10996","10996","1","1","1","6271","6271","6271","1","1","1","6270","6270","6270","1","1","1","6277","6277","6277","1","1","1"
"24","6211","6211","6211","1","1","1","5959","5959","5959","0.8","0.8","0.8","5970","5970","5970","1","1","1","10998","10998","10998","0","0","0","6273","6273","6273","1","1","1","6272","6272","6272","1","1","1","6279","6279","6279","1","1","1"
"25","6213","6213","6213","1","1","1","5961","5961","5961","1","1","1","5972","5972","5972","1","1","1","11000","11000","11000","1","1","1","6275","6275","6275","1","1","1","6274","6274","6274","1","1","1","6281","6281","6281","1","1","1"
"26","6215","6215","6215","1","1","1","5963","5963","5963","1","1","1","5974","5974","5974","1","1","1","11002","11002","11002","1","1","1","6277","6277","6277","1","1","1","6276","6276","6276","0.8","0.8","0.8","6283","6283","6283","1","1","1"
"27","6379","6379","6379","0","0","0","6128","6128","6128","0","0","0","6142","6142","6142","0","0","0","11315","11315","11315","0","0","0","6445","6445","6445","0","0","0","6440","6440","6440","0","0","0","6450","6450","6450","0","0","0"
"28","6381","6381","6381","1","1","1","6130","6130","6130","1","1","1","6144","6144","6144","1","1","1","11317","11317","11317","1","1","1","6447","6447","6447","1","1","1","6442","6442","6442","1","1","1","6452","6452","6452","1","1","1"
"29","6383","6383","6383","1","1","1","6132","6132","6132","1","1","1","6146","6146","6146","1","1","1","11319","11319","11319","1","1","1","6449","6449","6449","0.8","0.8","0.8","6444","6444","6444","1","1","1","6454","6454","6454","1","1","1"
"30","6385","6385","6385","1","1","1","6134","6134","6134","1","1","1","6148","6148","6148","0","0","0","11321","11321","11321","1","1","1","6451","6451","6451","1","1","1","6446","6446","6446","0","0","0","6456","6456","6456","1","1","1"
"31","6387","6387","6387","1","1","1","6136","6136","6136","1","1","1","6150","6150","6150","0.8","0.8","0.8","11323","11323","11323","1","1","1","6453","6453","6453","1","1","1","6448","6448","6448","1","1","1","6458","6458","6458","1","1","1"
"32","6389","6389","6389","0.8","0.8","0.8","6138","6138","6138","1","1","1","6152","6152","6152","0.8","0.8","0.8","11325","11325","11325","1","1","1","6455","6455","6455","0.8","0.8","0.8","6450","6450","6450","1","1","1","6460","6460","6460","1","1","1"
"33","6391","6391","6391","1","1","1","6140","6140","6140","1","1","1","6154","6154","6154","1","1","1","11327","11327","11327","0","0","0","6457","6457","6457","1","1","1","6452","6452","6452","1","1","1","6462","6462","6462","1","1","1"
"34","6393","6393","6393","1","1","1","6142","6142","6142","1","1","1","6156","6156","6156","1","1","1","11329","11329","11329","1","1","1","6459","6459","6459","1","1","1","6454","6454","6454","1","1","1","6464","6464","6464","1","1","1"
"35","6395","6395","6395","1","1","1","6144","6144","6144","1","1","1","6158","6158","6158","1","1","1","11331","11331","11331","1","1","1","6461","6461","6461","1","1","1","6456","6456","6456","0.8","0.8","0.8","6466","6466","6466","1","1","1"
"36","6559","6559","6559","0","0","0","6308","6308","6308","0","0","0","6319","6319","6319","0","0","0","11645","11645","11645","0","0","0","6627","6627","6627","0","0","0","6624","6624","6624","0","0","0","6626","6626","6626","0","0","0"
"37","6561","6561","6561","1","1","1","6310","6310","6310","1","1","1","6321","6321","6321","1","1","1","11647","11647","11647","1","1","1","6629","6629","6629","1","1","1","6626","6626","6626","1","1","1","6628","6628","6628","1","1","1"
"38","6563","6563","6563","1","1","1","6312","6312","6312","1","1","1","6323","6323","6323","0.8","0.8","0.8","11649","11649","11649","1","1","1","6631","6631","6631","1","1","1","6628","6628","6628","1","1","1","6630","6630","6630","0.8","0.8","0.8"
"39","6565","6565","6565","1","1","1","6314","6314","6314","0","0","0","6325","6325","6325","0","0","0","11651","11651","11651","1","1","1","6633","6633","6633","1","1","1","6630","6630","6630","0","0","0","6632","6632","6632","0","0","0"
"40","6567","6567","6567","0.8","0.8","0.8","6316","6316","6316","0.8","0.8","0.8","6327","6327","6327","0.8","0.8","0.8","11653","11653","11653","1","1","1","6635","6635","6635","1","1","1","6632","6632","6632","0.8","0.8","0.8","6634","6634","6634","1","1","1"
"41","6569","6569","6569","0.8","0.8","0.8","6318","6318","6318","0.8","0.8","0.8","6329","6329","6329","1","1","1","11655","11655","11655","1","1","1","6637","6637","6637","0.8","0.8","0.8","6634","6634","6634","1","1","1","6636","6636","6636","0.8","0.8","0.8"
"42","6571","6571","6571","1","1","1","6320","6320","6320","1","1","1","6331","6331","6331","1","1","1","11657","11657","11657","1","1","1","6639","6639","6639","1","1","1","6636","6636","6636","1","1","1","6638","6638","6638","1","1","1"
"43","6573","6573","6573","0.8","0.8","0.8","6322","6322","6322","1","1","1","6333","6333","6333","1","1","1","11659","11659","11659","1","1","1","6641","6641","6641","1","1","1","6638","6638","6638","1","1","1","6640","6640","6640","1","1","1"
"44","6575","6575","6575","1","1","1","6324","6324","6324","1","1","1","6335","6335","6335","1","1","1","11661","11661","11661","1","1","1","6643","6643","6643","1","1","1","6640","6640","6640","1","1","1","6642","6642","6642","0.9","0.9","0.9"
"45","6743","6743","6743","0","0","0","6486","6486","6486","0","0","0","6495","6495","6495","0","0","0","11975","11975","11975","0","0","0","6808","6808","6808","0","0","0","6805","6805","6805","0","0","0","6802","6802","6802","0","0","0"
"46","6745","6745","6745","1","1","1","6488","6488","6488","1","1","1","6497","6497","6497","1","1","1","11977","11977","11977","1","1","1","6810","6810","6810","1","1","1","6807","6807","6807","1","1","1","6804","6804","6804","1","1","1"
"47","6747","6747","6747","1","1","1","6490","6490","6490","1","1","1","6499","6499","6499","1","1","1","11979","11979","11979","1","1","1","6812","6812","6812","1","1","1","6809","6809","6809","1","1","1","6806","6806","6806","1","1","1"
"48","6749","6749","6749","1","1","1","6492","6492","6492","1","1","1","6501","6501","6501","1","1","1","11981","11981","11981","0","0","0","6814","6814","6814","1","1","1","6811","6811","6811","0","0","0","6808","6808","6808","1","1","1"
"49","6751","6751","6751","1","1","1","6494","6494","6494","1","1","1","6503","6503","6503","0.8","0.8","0.8","11983","11983","11983","1","1","1","6816","6816","6816","0.8","0.8","0.8","6813","6813","6813","1","1","1","6810","6810","6810","1","1","1"
"50","6753","6753","6753","1","1","1","6496","6496","6496","1","1","1","6505","6505","6505","1","1","1","11985","11985","11985","0.8","0.8","0.8","6818","6818","6818","1","1","1","6815","6815","6815","1","1","1","6812","6812","6812","0.8","0.8","0.8"
"51","6755","6755","6755","1","1","1","6498","6498","6498","1","1","1","6507","6507","6507","1","1","1","11987","11987","11987","0","0","0","6820","6820","6820","1","1","1","6817","6817","6817","1","1","1","6814","6814","6814","1","1","1"
"52","6757","6757","6757","1","1","1","6500","6500","6500","1","1","1","6509","6509","6509","1","1","1","11989","11989","11989","1","1","1","6822","6822","6822","1","1","1","6819","6819","6819","1","1","1","6816","6816","6816","1","1","1"
"53","6759","6759","6759","1","1","1","6502","6502","6502","1","1","1","6511","6511","6511","1","1","1","11991","11991","11991","1","1","1","6824","6824","6824","1","1","1","6821","6821","6821","1","1","1","6818","6818","6818","1","1","1"
"54","6926","6926","6926","0","0","0","6665","6665","6665","1","1","1","6672","6672","6672","0","0","0","12304","12304","12304","0","0","0","6988","6988","6988","0","0","0","6994","6994","6994","0","0","0","6985","6985","6985","0","0","0"
"55","6928","6928","6928","1","1","1","6667","6667","6667","1","1","1","6674","6674","6674","1","1","1","12306","12306","12306","1","1","1","6990","6990","6990","1","1","1","6996","6996","6996","1","1","1","6987","6987","6987","1","1","1"
"56","6930","6930","6930","1","1","1","6669","6669","6669","1","1","1","6676","6676","6676","1","1","1","12308","12308","12308","1","1","1","6992","6992","6992","1","1","1","6998","6998","6998","1","1","1","6989","6989","6989","1","1","1"
"57","6932","6932","6932","0","0","0","6671","6671","6671","1","1","1","6678","6678","6678","0","0","0","12310","12310","12310","0","0","0","6994","6994","6994","0","0","0","7000","7000","7000","1","1","1","6991","6991","6991","1","1","1"
"58","6934","6934","6934","1","1","1","6673","6673","6673","0.8","0.8","0.8","6680","6680","6680","1","1","1","12312","12312","12312","1","1","1","6996","6996","6996","1","1","1","7002","7002","7002","0.8","0.8","0.8","6993","6993","6993","1","1","1"
"59","6936","6936","6936","0.8","0.8","0.8","6675","6675","6675","0.8","0.8","0.8","6682","6682","6682","1","1","1","12314","12314","12314","1","1","1","6998","6998","6998","1","1","1","7004","7004","7004","1","1","1","6995","6995","6995","0.8","0.8","0.8"
"60","6938","6938","6938","1","1","1","6677","6677","6677","1","1","1","6684","6684","6684","1","1","1","12316","12316","12316","0","0","0","7000","7000","7000","1","1","1","7006","7006","7006","1","1","1","6997","6997","6997","1","1","1"
"61","6940","6940","6940","1","1","1","6679","6679","6679","1","1","1","6686","6686","6686","1","1","1","12318","12318","12318","1","1","1","7002","7002","7002","1","1","1","7008","7008","7008","1","1","1","6999","6999","6999","1","1","1"
"62","6942","6942","6942","1","1","1","6681","6681","6681","1","1","1","6688","6688","6688","1","1","1","12320","12320","12320","1","1","1","7004","7004","7004","1","1","1","7010","7010","7010","1","1","1","7001","7001","7001","1","1","1"
"63","7106","7106","7106","1","1","1","6837","6837","6837","1","1","1","6866","6866","6866","0","0","0","12634","12634","12634","0","0","0","7170","7170","7170","0","0","0","7170","7170","7170","1","1","1","7169","7169","7169","0","0","0"
"64","7108","7108","7108","1","1","1","6839","6839","6839","1","1","1","6868","6868","6868","1","1","1","12636","12636","12636","1","1","1","7172","7172","7172","1","1","1","7172","7172","7172","1","1","1","7171","7171","7171","1","1","1"
"65","7110","7110","7110","1","1","1","6841","6841","6841","1","1","1","6870","6870","6870","1","1","1","12638","12638","12638","1","1","1","7174","7174","7174","1","1","1","7174","7174","7174","1","1","1","7173","7173","7173","1","1","1"
"66","7112","7112","7112","1","1","1","6843","6843","6843","1","1","1","6872","6872","6872","0","0","0","12640","12640","12640","0","0","0","7176","7176","7176","1","1","1","7176","7176","7176","1","1","1","7175","7175","7175","1","1","1"
"67","7114","7114","7114","1","1","1","6845","6845","6845","1","1","1","6874","6874","6874","1","1","1","12642","12642","12642","1","1","1","7178","7178","7178","1","1","1","7178","7178","7178","1","1","1","7177","7177","7177","0.8","0.8","0.8"
"68","7116","7116","7116","0.8","0.8","0.8","6847","6847","6847","0.8","0.8","0.8","6876","6876","6876","1","1","1","12644","12644","12644","1","1","1","7180","7180","7180","1","1","1","7180","7180","7180","1","1","1","7179","7179","7179","0.8","0.8","0.8"
"69","7118","7118","7118","1","1","1","6849","6849","6849","1","1","1","6878","6878","6878","0","0","0","12646","12646","12646","1","1","1","7182","7182","7182","1","1","1","7182","7182","7182","1","1","1","7181","7181","7181","1","1","1"
"70","7120","7120","7120","1","1","1","6851","6851","6851","1","1","1","6880","6880","6880","1","1","1","12648","12648","12648","1","1","1","7184","7184","7184","1","1","1","7184","7184","7184","1","1","1","7183","7183","7183","1","1","1"
"71","7122","7122","7122","1","1","1","6853","6853","6853","1","1","1","6882","6882","6882","1","1","1","12650","12650","12650","1","1","1","7186","7186","7186","1","1","1","7186","7186","7186","1","1","1","7185","7185","7185","1","1","1"
"72","7284","7284","7284","0","0","0","7015","7015","7015","1","1","1","7040","7040","7040","1","1","1","12964","12964","12964","0","0","0","7353","7353","7353","1","1","1","7351","7351","7351","0","0","0","7350","7350","7350","0","0","0"
"73","7286","7286","7286","1","1","1","7017","7017","7017","1","1","1","7042","7042","7042","1","1","1","12966","12966","12966","1","1","1","7355","7355","7355","1","1","1","7353","7353","7353","1","1","1","7352","7352","7352","1","1","1"
"74","7288","7288","7288","1","1","1","7019","7019","7019","1","1","1","7044","7044","7044","1","1","1","12968","12968","12968","1","1","1","7357","7357","7357","1","1","1","7355","7355","7355","1","1","1","7354","7354","7354","1","1","1"
"75","7290","7290","7290","1","1","1","7021","7021","7021","1","1","1","7046","7046","7046","1","1","1","12970","12970","12970","0","0","0","7359","7359","7359","1","1","1","7357","7357","7357","1","1","1","7356","7356","7356","0","0","0"
"76","7292","7292","7292","0.8","0.8","0.8","7023","7023","7023","1","1","1","7048","7048","7048","0.8","0.8","0.8","12972","12972","12972","1","1","1","7361","7361","7361","1","1","1","7359","7359","7359","0.8","0.8","0.8","7358","7358","7358","1","1","1"
"77","7294","7294","7294","1","1","1","7025","7025","7025","1","1","1","7050","7050","7050","1","1","1","12974","12974","12974","1","1","1","7363","7363","7363","1","1","1","7361","7361","7361","1","1","1","7360","7360","7360","1","1","1"
"78","7296","7296","7296","1","1","1","7027","7027","7027","1","1","1","7052","7052","7052","1","1","1","12976","12976","12976","1","1","1","7365","7365","7365","1","1","1","7363","7363","7363","1","1","1","7362","7362","7362","1","1","1"
"79","7298","7298","7298","1","1","1","7029","7029","7029","1","1","1","7054","7054","7054","1","1","1","12978","12978","12978","1","1","1","7367","7367","7367","1","1","1","7365","7365","7365","1","1","1","7364","7364","7364","1","1","1"
"80","7300","7300","7300","1","1","1","7031","7031","7031","1","1","1","7056","7056","7056","1","1","1","12980","12980","12980","1","1","1","7369","7369","7369","1","1","1","7367","7367","7367","1","1","1","7366","7366","7366","1","1","1"
"81","7460","7460","7460","1","1","1","7189","7189","7189","1","1","1","7218","7218","7218","1","1","1","13293","13293","13293","0","0","0","7528","7528","7528","1","1","1","7525","7525","7525","1","1","1","7532","7532","7532","0","0","0"
"82","7462","7462","7462","0.8","0.8","0.8","7191","7191","7191","1","1","1","7220","7220","7220","1","1","1","13295","13295","13295","1","1","1","7530","7530","7530","1","1","1","7527","7527","7527","0.8","0.8","0.8","7534","7534","7534","1","1","1"
"83","7464","7464","7464","1","1","1","7193","7193","7193","1","1","1","7222","7222","7222","1","1","1","13297","13297","13297","1","1","1","7532","7532","7532","1","1","1","7529","7529","7529","0.8","0.8","0.8","7536","7536","7536","0.8","0.8","0.8"
"84","7466","7466","7466","1","1","1","7195","7195","7195","1","1","1","7224","7224","7224","1","1","1","13299","13299","13299","0","0","0","7534","7534","7534","1","1","1","7531","7531","7531","1","1","1","7538","7538","7538","1","1","1"
"85","7468","7468","7468","1","1","1","7197","7197","7197","1","1","1","7226","7226","7226","0.8","0.8","0.8","13301","13301","13301","1","1","1","7536","7536","7536","1","1","1","7533","7533","7533","1","1","1","7540","7540","7540","0.8","0.8","0.8"
"86","7470","7470","7470","1","1","1","7199","7199","7199","1","1","1","7228","7228","7228","1","1","1","13303","13303","13303","1","1","1","7538","7538","7538","1","1","1","7535","7535","7535","1","1","1","7542","7542","7542","1","1","1"
"87","7472","7472","7472","1","1","1","7201","7201","7201","1","1","1","7230","7230","7230","1","1","1","13305","13305","13305","1","1","1","7540","7540","7540","1","1","1","7537","7537","7537","1","1","1","7544","7544","7544","1","1","1"
"88","7474","7474","7474","1","1","1","7203","7203","7203","1","1","1","7232","7232","7232","1","1","1","13307","13307","13307","1","1","1","7542","7542","7542","1","1","1","7539","7539","7539","1","1","1","7546","7546","7546","1","1","1"
"89","7476","7476","7476","1","1","1","7205","7205","7205","1","1","1","7234","7234","7234","1","1","1","13309","13309","13309","1","1","1","7544","7544","7544","1","1","1","7541","7541","7541","1","1","1","7548","7548","7548","1","1","1"
"90","7634","7634","7634","0","0","0","7364","7364","7364","1","1","1","7392","7392","7392","1","1","1","13622","13622","13622","0","0","0","7707","7707","7707","1","1","1","7699","7699","7699","1","1","1","7713","7713","7713","0","0","0"
"91","7636","7636","7636","1","1","1","7366","7366","7366","1","1","1","7394","7394","7394","1","1","1","13624","13624","13624","1","1","1","7709","7709","7709","1","1","1","7701","7701","7701","1","1","1","7715","7715","7715","1","1","1"
"92","7638","7638","7638","1","1","1","7368","7368","7368","1","1","1","7396","7396","7396","1","1","1","13626","13626","13626","1","1","1","7711","7711","7711","1","1","1","7703","7703","7703","1","1","1","7717","7717","7717","1","1","1"
"93","7640","7640","7640","1","1","1","7370","7370","7370","1","1","1","7398","7398","7398","1","1","1","13628","13628","13628","1","1","1","7713","7713","7713","1","1","1","7705","7705","7705","1","1","1","7719","7719","7719","0","0","0"
"94","7642","7642","7642","1","1","1","7372","7372","7372","1","1","1","7400","7400","7400","1","1","1","13630","13630","13630","1","1","1","7715","7715","7715","1","1","1","7707","7707","7707","1","1","1","7721","7721","7721","1","1","1"
