"Evaluate/step_episode","ppo_discrete_2025-05-21_16-02-29 - _step","ppo_discrete_2025-05-21_16-02-29 - _step__MIN","ppo_discrete_2025-05-21_16-02-29 - _step__MAX","ppo_discrete_2025-05-21_16-02-29 - Evaluate/EpEnvLen","ppo_discrete_2025-05-21_16-02-29 - Evaluate/EpEnvLen__MIN","ppo_discrete_2025-05-21_16-02-29 - Evaluate/EpEnvLen__MAX","edqn_2024-12-11_13-29-49 - _step","edqn_2024-12-11_13-29-49 - _step__MIN","edqn_2024-12-11_13-29-49 - _step__MAX","edqn_2024-12-11_13-29-49 - Evaluate/EpEnvLen","edqn_2024-12-11_13-29-49 - Evaluate/EpEnvLen__MIN","edqn_2024-12-11_13-29-49 - Evaluate/EpEnvLen__MAX","no_dueling_2024-12-10_13-06-23 - _step","no_dueling_2024-12-10_13-06-23 - _step__MIN","no_dueling_2024-12-10_13-06-23 - _step__MAX","no_dueling_2024-12-10_13-06-23 - Evaluate/EpEnvLen","no_dueling_2024-12-10_13-06-23 - Evaluate/EpEnvLen__MIN","no_dueling_2024-12-10_13-06-23 - Evaluate/EpEnvLen__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - _step__MAX","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Evaluate/EpEnvLen","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Evaluate/EpEnvLen__MIN","epsilon_nosiy_FactoryTaskAllocationMiC_2024-12-09_14-31-02 - Evaluate/EpEnvLen__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpEnvLen","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpEnvLen__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpEnvLen__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - _step__MAX","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpEnvLen","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpEnvLen__MIN","FactoryTaskAllocationMiC_2024-12-08_15-44-10 - Evaluate/EpEnvLen__MAX"
"14","495","495","495","862","862","862","5777","5777","5777","899","899","899","5782","5782","5782","730","730","730","6093","6093","6093","905","905","905","6089","6089","6089","746","746","746","6097","6097","6097","900","900","900"
"15","497","497","497","843","843","843","5779","5779","5779","904","904","904","5784","5784","5784","999","999","999","6095","6095","6095","911","911","911","6091","6091","6091","742","742","742","6099","6099","6099","909","909","909"
"16","499","499","499","871","871","871","5781","5781","5781","671","671","671","5786","5786","5786","719","719","719","6097","6097","6097","852","852","852","6093","6093","6093","696","696","696","6101","6101","6101","707","707","707"
"17","501","501","501","864","864","864","5783","5783","5783","769","769","769","5788","5788","5788","678","678","678","6099","6099","6099","855","855","855","6095","6095","6095","693","693","693","6103","6103","6103","855","855","855"
"18","659","659","659","1249","1249","1249","5947","5947","5947","1249","1249","1249","5958","5958","5958","1249","1249","1249","6261","6261","6261","1249","1249","1249","6260","6260","6260","1249","1249","1249","6267","6267","6267","1249","1249","1249"
"19","661","661","661","1052","1052","1052","5949","5949","5949","1010","1010","1010","5960","5960","5960","1068","1068","1068","6263","6263","6263","1072","1072","1072","6262","6262","6262","1053","1053","1053","6269","6269","6269","1056","1056","1056"
"20","663","663","663","981","981","981","5951","5951","5951","1066","1066","1066","5962","5962","5962","974","974","974","6265","6265","6265","1078","1078","1078","6264","6264","6264","1083","1083","1083","6271","6271","6271","1106","1106","1106"
"21","665","665","665","759","759","759","5953","5953","5953","999","999","999","5964","5964","5964","999","999","999","6267","6267","6267","875","875","875","6266","6266","6266","999","999","999","6273","6273","6273","902","902","902"
"22","667","667","667","849","849","849","5955","5955","5955","917","917","917","5966","5966","5966","853","853","853","6269","6269","6269","829","829","829","6268","6268","6268","849","849","849","6275","6275","6275","929","929","929"
"23","669","669","669","921","921","921","5957","5957","5957","902","902","902","5968","5968","5968","837","837","837","6271","6271","6271","936","936","936","6270","6270","6270","904","904","904","6277","6277","6277","922","922","922"
"24","671","671","671","770","770","770","5959","5959","5959","999","999","999","5970","5970","5970","882","882","882","6273","6273","6273","878","878","878","6272","6272","6272","738","738","738","6279","6279","6279","872","872","872"
"25","673","673","673","758","758","758","5961","5961","5961","703","703","703","5972","5972","5972","851","851","851","6275","6275","6275","872","872","872","6274","6274","6274","856","856","856","6281","6281","6281","926","926","926"
"26","675","675","675","777","777","777","5963","5963","5963","846","846","846","5974","5974","5974","853","853","853","6277","6277","6277","713","713","713","6276","6276","6276","999","999","999","6283","6283","6283","708","708","708"
"27","823","823","823","1249","1249","1249","6128","6128","6128","1249","1249","1249","6142","6142","6142","1249","1249","1249","6445","6445","6445","1249","1249","1249","6440","6440","6440","1249","1249","1249","6450","6450","6450","1249","1249","1249"
"28","825","825","825","1050","1050","1050","6130","6130","6130","1082","1082","1082","6144","6144","6144","1034","1034","1034","6447","6447","6447","1079","1079","1079","6442","6442","6442","1044","1044","1044","6452","6452","6452","1060","1060","1060"
"29","827","827","827","1082","1082","1082","6132","6132","6132","996","996","996","6146","6146","6146","1042","1042","1042","6449","6449","6449","1249","1249","1249","6444","6444","6444","1071","1071","1071","6454","6454","6454","1073","1073","1073"
"30","829","829","829","755","755","755","6134","6134","6134","840","840","840","6148","6148","6148","999","999","999","6451","6451","6451","875","875","875","6446","6446","6446","999","999","999","6456","6456","6456","899","899","899"
"31","831","831","831","827","827","827","6136","6136","6136","818","818","818","6150","6150","6150","999","999","999","6453","6453","6453","803","803","803","6448","6448","6448","831","831","831","6458","6458","6458","842","842","842"
"32","833","833","833","908","908","908","6138","6138","6138","890","890","890","6152","6152","6152","999","999","999","6455","6455","6455","999","999","999","6450","6450","6450","893","893","893","6460","6460","6460","938","938","938"
"33","835","835","835","747","747","747","6140","6140","6140","772","772","772","6154","6154","6154","742","742","742","6457","6457","6457","866","866","866","6452","6452","6452","796","796","796","6462","6462","6462","875","875","875"
"34","837","837","837","708","708","708","6142","6142","6142","942","942","942","6156","6156","6156","856","856","856","6459","6459","6459","756","756","756","6454","6454","6454","867","867","867","6464","6464","6464","853","853","853"
"35","839","839","839","776","776","776","6144","6144","6144","780","780","780","6158","6158","6158","712","712","712","6461","6461","6461","703","703","703","6456","6456","6456","999","999","999","6466","6466","6466","853","853","853"
"36","997","997","997","1249","1249","1249","6308","6308","6308","1249","1249","1249","6319","6319","6319","1249","1249","1249","6627","6627","6627","1249","1249","1249","6624","6624","6624","1249","1249","1249","6626","6626","6626","1249","1249","1249"
"37","999","999","999","1249","1249","1249","6310","6310","6310","950","950","950","6321","6321","6321","1099","1099","1099","6629","6629","6629","1036","1036","1036","6626","6626","6626","1038","1038","1038","6628","6628","6628","1104","1104","1104"
"38","1001","1001","1001","1188","1188","1188","6312","6312","6312","900","900","900","6323","6323","6323","1249","1249","1249","6631","6631","6631","1047","1047","1047","6628","6628","6628","1099","1099","1099","6630","6630","6630","1249","1249","1249"
"39","1003","1003","1003","749","749","749","6314","6314","6314","999","999","999","6325","6325","6325","999","999","999","6633","6633","6633","880","880","880","6630","6630","6630","999","999","999","6632","6632","6632","999","999","999"
"40","1005","1005","1005","981","981","981","6316","6316","6316","999","999","999","6327","6327","6327","999","999","999","6635","6635","6635","815","815","815","6632","6632","6632","999","999","999","6634","6634","6634","820","820","820"
"41","1007","1007","1007","735","735","735","6318","6318","6318","999","999","999","6329","6329","6329","738","738","738","6637","6637","6637","999","999","999","6634","6634","6634","911","911","911","6636","6636","6636","999","999","999"
"42","1009","1009","1009","774","774","774","6320","6320","6320","912","912","912","6331","6331","6331","904","904","904","6639","6639","6639","788","788","788","6636","6636","6636","866","866","866","6638","6638","6638","908","908","908"
"43","1011","1011","1011","928","928","928","6322","6322","6322","680","680","680","6333","6333","6333","693","693","693","6641","6641","6641","838","838","838","6638","6638","6638","677","677","677","6640","6640","6640","780","780","780"
"44","1013","1013","1013","772","772","772","6324","6324","6324","703","703","703","6335","6335","6335","691","691","691","6643","6643","6643","855","855","855","6640","6640","6640","678","678","678","6642","6642","6642","999","999","999"
"45","1159","1159","1159","1249","1249","1249","6486","6486","6486","1249","1249","1249","6495","6495","6495","1249","1249","1249","6808","6808","6808","1249","1249","1249","6805","6805","6805","1249","1249","1249","6802","6802","6802","1249","1249","1249"
"46","1161","1161","1161","1249","1249","1249","6488","6488","6488","1054","1054","1054","6497","6497","6497","1031","1031","1031","6810","6810","6810","1085","1085","1085","6807","6807","6807","1018","1018","1018","6804","6804","6804","925","925","925"
"47","1163","1163","1163","1170","1170","1170","6490","6490","6490","955","955","955","6499","6499","6499","971","971","971","6812","6812","6812","980","980","980","6809","6809","6809","985","985","985","6806","6806","6806","933","933","933"
"48","1165","1165","1165","752","752","752","6492","6492","6492","828","828","828","6501","6501","6501","815","815","815","6814","6814","6814","859","859","859","6811","6811","6811","999","999","999","6808","6808","6808","811","811","811"
"49","1167","1167","1167","979","979","979","6494","6494","6494","805","805","805","6503","6503","6503","999","999","999","6816","6816","6816","999","999","999","6813","6813","6813","791","791","791","6810","6810","6810","736","736","736"
"50","1169","1169","1169","757","757","757","6496","6496","6496","809","809","809","6505","6505","6505","809","809","809","6818","6818","6818","983","983","983","6815","6815","6815","976","976","976","6812","6812","6812","999","999","999"
"51","1171","1171","1171","742","742","742","6498","6498","6498","882","882","882","6507","6507","6507","736","736","736","6820","6820","6820","801","801","801","6817","6817","6817","929","929","929","6814","6814","6814","959","959","959"
"52","1173","1173","1173","785","785","785","6500","6500","6500","931","931","931","6509","6509","6509","696","696","696","6822","6822","6822","676","676","676","6819","6819","6819","671","671","671","6816","6816","6816","695","695","695"
"53","1175","1175","1175","878","878","878","6502","6502","6502","682","682","682","6511","6511","6511","758","758","758","6824","6824","6824","779","779","779","6821","6821","6821","679","679","679","6818","6818","6818","695","695","695"
"54","1339","1339","1339","1249","1249","1249","6665","6665","6665","987","987","987","6672","6672","6672","1249","1249","1249","6988","6988","6988","1249","1249","1249","6994","6994","6994","1249","1249","1249","6985","6985","6985","1249","1249","1249"
"55","1341","1341","1341","1249","1249","1249","6667","6667","6667","1219","1219","1219","6674","6674","6674","963","963","963","6990","6990","6990","979","979","979","6996","6996","6996","958","958","958","6987","6987","6987","1114","1114","1114"
"56","1343","1343","1343","1249","1249","1249","6669","6669","6669","956","956","956","6676","6676","6676","974","974","974","6992","6992","6992","906","906","906","6998","6998","6998","960","960","960","6989","6989","6989","1118","1118","1118"
"57","1345","1345","1345","821","821","821","6671","6671","6671","764","764","764","6678","6678","6678","999","999","999","6994","6994","6994","999","999","999","7000","7000","7000","802","802","802","6991","6991","6991","872","872","872"
"58","1347","1347","1347","914","914","914","6673","6673","6673","999","999","999","6680","6680","6680","815","815","815","6996","6996","6996","744","744","744","7002","7002","7002","999","999","999","6993","6993","6993","803","803","803"
"59","1349","1349","1349","985","985","985","6675","6675","6675","999","999","999","6682","6682","6682","751","751","751","6998","6998","6998","721","721","721","7004","7004","7004","734","734","734","6995","6995","6995","999","999","999"
"60","1351","1351","1351","806","806","806","6677","6677","6677","745","745","745","6684","6684","6684","731","731","731","7000","7000","7000","912","912","912","7006","7006","7006","748","748","748","6997","6997","6997","863","863","863"
"61","1353","1353","1353","856","856","856","6679","6679","6679","845","845","845","6686","6686","6686","682","682","682","7002","7002","7002","698","698","698","7008","7008","7008","709","709","709","6999","6999","6999","693","693","693"
"62","1355","1355","1355","912","912","912","6681","6681","6681","707","707","707","6688","6688","6688","720","720","720","7004","7004","7004","695","695","695","7010","7010","7010","680","680","680","7001","7001","7001","853","853","853"
"63","1517","1517","1517","1249","1249","1249","6837","6837","6837","995","995","995","6866","6866","6866","1249","1249","1249","7170","7170","7170","1249","1249","1249","7170","7170","7170","1001","1001","1001","7169","7169","7169","1249","1249","1249"
"64","1519","1519","1519","1035","1035","1035","6839","6839","6839","1111","1111","1111","6868","6868","6868","1065","1065","1065","7172","7172","7172","977","977","977","7172","7172","7172","1035","1035","1035","7171","7171","7171","1038","1038","1038"
"65","1521","1521","1521","1111","1111","1111","6841","6841","6841","1142","1142","1142","6870","6870","6870","1069","1069","1069","7174","7174","7174","974","974","974","7174","7174","7174","966","966","966","7173","7173","7173","1114","1114","1114"
"66","1523","1523","1523","751","751","751","6843","6843","6843","741","741","741","6872","6872","6872","999","999","999","7176","7176","7176","898","898","898","7176","7176","7176","750","750","750","7175","7175","7175","800","800","800"
"67","1525","1525","1525","989","989","989","6845","6845","6845","821","821","821","6874","6874","6874","895","895","895","7178","7178","7178","821","821","821","7178","7178","7178","989","989","989","7177","7177","7177","999","999","999"
"68","1527","1527","1527","833","833","833","6847","6847","6847","999","999","999","6876","6876","6876","886","886","886","7180","7180","7180","967","967","967","7180","7180","7180","827","827","827","7179","7179","7179","999","999","999"
"69","1529","1529","1529","909","909","909","6849","6849","6849","747","747","747","6878","6878","6878","999","999","999","7182","7182","7182","898","898","898","7182","7182","7182","750","750","750","7181","7181","7181","881","881","881"
"70","1531","1531","1531","870","870","870","6851","6851","6851","869","869","869","6880","6880","6880","693","693","693","7184","7184","7184","779","779","779","7184","7184","7184","947","947","947","7183","7183","7183","693","693","693"
"71","1533","1533","1533","704","704","704","6853","6853","6853","695","695","695","6882","6882","6882","714","714","714","7186","7186","7186","698","698","698","7186","7186","7186","703","703","703","7185","7185","7185","698","698","698"
"72","1679","1679","1679","1249","1249","1249","7015","7015","7015","988","988","988","7040","7040","7040","1060","1060","1060","7353","7353","7353","1055","1055","1055","7351","7351","7351","1249","1249","1249","7350","7350","7350","1249","1249","1249"
"73","1681","1681","1681","1033","1033","1033","7017","7017","7017","1027","1027","1027","7042","7042","7042","1008","1008","1008","7355","7355","7355","1014","1014","1014","7353","7353","7353","924","924","924","7352","7352","7352","998","998","998"
"74","1683","1683","1683","1052","1052","1052","7019","7019","7019","1031","1031","1031","7044","7044","7044","974","974","974","7357","7357","7357","982","982","982","7355","7355","7355","927","927","927","7354","7354","7354","995","995","995"
"75","1685","1685","1685","743","743","743","7021","7021","7021","754","754","754","7046","7046","7046","762","762","762","7359","7359","7359","762","762","762","7357","7357","7357","808","808","808","7356","7356","7356","999","999","999"
"76","1687","1687","1687","759","759","759","7023","7023","7023","734","734","734","7048","7048","7048","999","999","999","7361","7361","7361","972","972","972","7359","7359","7359","999","999","999","7358","7358","7358","751","751","751"
"77","1689","1689","1689","731","731","731","7025","7025","7025","738","738","738","7050","7050","7050","742","742","742","7363","7363","7363","757","757","757","7361","7361","7361","745","745","745","7360","7360","7360","751","751","751"
"78","1691","1691","1691","814","814","814","7027","7027","7027","748","748","748","7052","7052","7052","747","747","747","7365","7365","7365","749","749","749","7363","7363","7363","950","950","950","7362","7362","7362","749","749","749"
"79","1693","1693","1693","719","719","719","7029","7029","7029","790","790","790","7054","7054","7054","709","709","709","7367","7367","7367","680","680","680","7365","7365","7365","691","691","691","7364","7364","7364","696","696","696"
"80","1695","1695","1695","708","708","708","7031","7031","7031","760","760","760","7056","7056","7056","715","715","715","7369","7369","7369","680","680","680","7367","7367","7367","676","676","676","7366","7366","7366","758","758","758"
"81","1851","1851","1851","1056","1056","1056","7189","7189","7189","1081","1081","1081","7218","7218","7218","933","933","933","7528","7528","7528","991","991","991","7525","7525","7525","1012","1012","1012","7532","7532","7532","1249","1249","1249"
"82","1853","1853","1853","1143","1143","1143","7191","7191","7191","1003","1003","1003","7220","7220","7220","960","960","960","7530","7530","7530","1115","1115","1115","7527","7527","7527","1249","1249","1249","7534","7534","7534","1217","1217","1217"
"83","1855","1855","1855","1154","1154","1154","7193","7193","7193","983","983","983","7222","7222","7222","960","960","960","7532","7532","7532","1033","1033","1033","7529","7529","7529","1249","1249","1249","7536","7536","7536","1249","1249","1249"
"84","1857","1857","1857","745","745","745","7195","7195","7195","759","759","759","7224","7224","7224","828","828","828","7534","7534","7534","753","753","753","7531","7531","7531","824","824","824","7538","7538","7538","826","826","826"
"85","1859","1859","1859","824","824","824","7197","7197","7197","734","734","734","7226","7226","7226","999","999","999","7536","7536","7536","963","963","963","7533","7533","7533","760","760","760","7540","7540","7540","999","999","999"
"86","1861","1861","1861","736","736","736","7199","7199","7199","741","741","741","7228","7228","7228","734","734","734","7538","7538","7538","902","902","902","7535","7535","7535","723","723","723","7542","7542","7542","755","755","755"
"87","1863","1863","1863","749","749","749","7201","7201","7201","742","742","742","7230","7230","7230","766","766","766","7540","7540","7540","900","900","900","7537","7537","7537","747","747","747","7544","7544","7544","883","883","883"
"88","1865","1865","1865","689","689","689","7203","7203","7203","763","763","763","7232","7232","7232","713","713","713","7542","7542","7542","760","760","760","7539","7539","7539","763","763","763","7546","7546","7546","716","716","716"
"89","1867","1867","1867","867","867","867","7205","7205","7205","676","676","676","7234","7234","7234","764","764","764","7544","7544","7544","870","870","870","7541","7541","7541","681","681","681","7548","7548","7548","697","697","697"
"90","2010","2010","2010","1056","1056","1056","7364","7364","7364","1132","1132","1132","7392","7392","7392","998","998","998","7707","7707","7707","1122","1122","1122","7699","7699","7699","1162","1162","1162","7713","7713","7713","1249","1249","1249"
"91","2012","2012","2012","1117","1117","1117","7366","7366","7366","972","972","972","7394","7394","7394","1039","1039","1039","7709","7709","7709","1011","1011","1011","7701","7701","7701","1063","1063","1063","7715","7715","7715","968","968","968"
"92","2014","2014","2014","1155","1155","1155","7368","7368","7368","897","897","897","7396","7396","7396","975","975","975","7711","7711","7711","1011","1011","1011","7703","7703","7703","1134","1134","1134","7717","7717","7717","960","960","960"
"93","2016","2016","2016","754","754","754","7370","7370","7370","744","744","744","7398","7398","7398","836","836","836","7713","7713","7713","793","793","793","7705","7705","7705","925","925","925","7719","7719","7719","999","999","999"
"94","2018","2018","2018","814","814","814","7372","7372","7372","722","722","722","7400","7400","7400","748","748","748","7715","7715","7715","721","721","721","7707","7707","7707","935","935","935","7721","7721","7721","902","902","902"
"95","2020","2020","2020","912","912","912","7374","7374","7374","732","732","732","7402","7402","7402","706","706","706","7717","7717","7717","722","722","722","7709","7709","7709","999","999","999","7723","7723","7723","727","727","727"
"96","2022","2022","2022","744","744","744","7376","7376","7376","795","795","795","7404","7404","7404","823","823","823","7719","7719","7719","740","740","740","7711","7711","7711","906","906","906","7725","7725","7725","952","952","952"
"97","2024","2024","2024","800","800","800","7378","7378","7378","680","680","680","7406","7406","7406","774","774","774","7721","7721","7721","677","677","677","7713","7713","7713","774","774","774","7727","7727","7727","698","698","698"
"98","2026","2026","2026","692","692","692","7380","7380","7380","678","678","678","7408","7408","7408","695","695","695","7723","7723","7723","763","763","763","7715","7715","7715","696","696","696","7729","7729","7729","753","753","753"
"99","2181","2181","2181","1249","1249","1249","7537","7537","7537","1081","1081","1081","7571","7571","7571","1005","1005","1005","7884","7884","7884","1104","1104","1104","7873","7873","7873","1107","1107","1107","7891","7891","7891","998","998","998"
"100","2183","2183","2183","1004","1004","1004","7539","7539","7539","971","971","971","7573","7573","7573","967","967","967","7886","7886","7886","1071","1071","1071","7875","7875","7875","957","957","957","7893","7893","7893","956","956","956"
"101","2185","2185","2185","1040","1040","1040","7541","7541","7541","931","931","931","7575","7575","7575","983","983","983","7888","7888","7888","1092","1092","1092","7877","7877","7877","925","925","925","7895","7895","7895","1003","1003","1003"
"102","2187","2187","2187","755","755","755","7543","7543","7543","758","758","758","7577","7577","7577","809","809","809","7890","7890","7890","759","759","759","7879","7879","7879","771","771","771","7897","7897","7897","741","741","741"
"103","2189","2189","2189","972","972","972","7545","7545","7545","734","734","734","7579","7579","7579","813","813","813","7892","7892","7892","730","730","730","7881","7881","7881","715","715","715","7899","7899","7899","999","999","999"
"104","2191","2191","2191","999","999","999","7547","7547","7547","733","733","733","7581","7581","7581","814","814","814","7894","7894","7894","754","754","754","7883","7883","7883","738","738","738","7901","7901","7901","748","748","748"
"105","2193","2193","2193","770","770","770","7549","7549","7549","743","743","743","7583","7583","7583","824","824","824","7896","7896","7896","763","763","763","7885","7885","7885","876","876","876","7903","7903","7903","799","799","799"
"106","2195","2195","2195","851","851","851","7551","7551","7551","771","771","771","7585","7585","7585","999","999","999","7898","7898","7898","694","694","694","7887","7887","7887","696","696","696","7905","7905","7905","686","686","686"
"107","2197","2197","2197","779","779","779","7553","7553","7553","695","695","695","7587","7587","7587","762","762","762","7900","7900","7900","692","692","692","7889","7889","7889","696","696","696","7907","7907","7907","673","673","673"
"108","2351","2351","2351","1249","1249","1249","7711","7711","7711","1141","1141","1141","7747","7747","7747","970","970","970","8061","8061","8061","1118","1118","1118","8050","8050","8050","1249","1249","1249","8073","8073","8073","1249","1249","1249"
"109","2353","2353","2353","1036","1036","1036","7713","7713","7713","969","969","969","7749","7749","7749","984","984","984","8063","8063","8063","1122","1122","1122","8052","8052","8052","926","926","926","8075","8075","8075","969","969","969"
"110","2355","2355","2355","1249","1249","1249","7715","7715","7715","952","952","952","7751","7751","7751","971","971","971","8065","8065","8065","1125","1125","1125","8054","8054","8054","958","958","958","8077","8077","8077","973","973","973"
"111","2357","2357","2357","755","755","755","7717","7717","7717","748","748","748","7753","7753","7753","829","829","829","8067","8067","8067","757","757","757","8056","8056","8056","875","875","875","8079","8079","8079","881","881","881"
"112","2359","2359","2359","908","908","908","7719","7719","7719","731","731","731","7755","7755","7755","735","735","735","8069","8069","8069","999","999","999","8058","8058","8058","868","868","868","8081","8081","8081","964","964","964"
"113","2361","2361","2361","976","976","976","7721","7721","7721","745","745","745","7757","7757","7757","999","999","999","8071","8071","8071","925","925","925","8060","8060","8060","727","727","727","8083","8083","8083","974","974","974"
"114","2363","2363","2363","731","731","731","7723","7723","7723","742","742","742","7759","7759","7759","816","816","816","8073","8073","8073","771","771","771","8062","8062","8062","875","875","875","8085","8085","8085","943","943","943"
