"Evaluate/step_episode","2_rainbowepsilon_2024-12-19_00-27-24 - _step","2_rainbowepsilon_2024-12-19_00-27-24 - _step__MIN","2_rainbowepsilon_2024-12-19_00-27-24 - _step__MAX","2_rainbowepsilon_2024-12-19_00-27-24 - Evaluate/EpProgress","2_rainbowepsilon_2024-12-19_00-27-24 - Evaluate/EpProgress__MIN","2_rainbowepsilon_2024-12-19_00-27-24 - Evaluate/EpProgress__MAX","15_rainbowepsilon_2024-12-16_00-15-51 - _step","15_rainbowepsilon_2024-12-16_00-15-51 - _step__MIN","15_rainbowepsilon_2024-12-16_00-15-51 - _step__MAX","15_rainbowepsilon_2024-12-16_00-15-51 - Evaluate/EpProgress","15_rainbowepsilon_2024-12-16_00-15-51 - Evaluate/EpProgress__MIN","15_rainbowepsilon_2024-12-16_00-15-51 - Evaluate/EpProgress__MAX","10_rainbowepsilon_2024-12-15_02-47-52 - _step","10_rainbowepsilon_2024-12-15_02-47-52 - _step__MIN","10_rainbowepsilon_2024-12-15_02-47-52 - _step__MAX","10_rainbowepsilon_2024-12-15_02-47-52 - Evaluate/EpProgress","10_rainbowepsilon_2024-12-15_02-47-52 - Evaluate/EpProgress__MIN","10_rainbowepsilon_2024-12-15_02-47-52 - Evaluate/EpProgress__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MAX"
"14","5782","5782","5782","1","1","1","5060","5060","5060","1","1","1","5274","5274","5274","1","1","1","6089","6089","6089","1","1","1"
"15","5784","5784","5784","0","0","0","5062","5062","5062","1","1","1","5276","5276","5276","1","1","1","6091","6091","6091","1","1","1"
"16","5786","5786","5786","1","1","1","5064","5064","5064","1","1","1","5278","5278","5278","1","1","1","6093","6093","6093","1","1","1"
"17","5788","5788","5788","1","1","1","5066","5066","5066","1","1","1","5280","5280","5280","1","1","1","6095","6095","6095","1","1","1"
"18","5948","5948","5948","0","0","0","5199","5199","5199","0","0","0","5423","5423","5423","0","0","0","6260","6260","6260","0","0","0"
"19","5950","5950","5950","1","1","1","5201","5201","5201","1","1","1","5425","5425","5425","1","1","1","6262","6262","6262","1","1","1"
"20","5952","5952","5952","1","1","1","5203","5203","5203","0.8","0.8","0.8","5427","5427","5427","1","1","1","6264","6264","6264","1","1","1"
"21","5954","5954","5954","1","1","1","5205","5205","5205","0","0","0","5429","5429","5429","1","1","1","6266","6266","6266","0","0","0"
"22","5956","5956","5956","1","1","1","5207","5207","5207","1","1","1","5431","5431","5431","1","1","1","6268","6268","6268","1","1","1"
"23","5958","5958","5958","1","1","1","5209","5209","5209","1","1","1","5433","5433","5433","0.8","0.8","0.8","6270","6270","6270","1","1","1"
"24","5960","5960","5960","1","1","1","5211","5211","5211","1","1","1","5435","5435","5435","1","1","1","6272","6272","6272","1","1","1"
"25","5962","5962","5962","1","1","1","5213","5213","5213","1","1","1","5437","5437","5437","1","1","1","6274","6274","6274","1","1","1"
"26","5964","5964","5964","1","1","1","5215","5215","5215","1","1","1","5439","5439","5439","1","1","1","6276","6276","6276","0.8","0.8","0.8"
"27","6132","6132","6132","0","0","0","5351","5351","5351","0","0","0","5578","5578","5578","0","0","0","6440","6440","6440","0","0","0"
"28","6134","6134","6134","1","1","1","5353","5353","5353","1","1","1","5580","5580","5580","1","1","1","6442","6442","6442","1","1","1"
"29","6136","6136","6136","1","1","1","5355","5355","5355","1","1","1","5582","5582","5582","1","1","1","6444","6444","6444","1","1","1"
"30","6138","6138","6138","0","0","0","5357","5357","5357","0","0","0","5584","5584","5584","0","0","0","6446","6446","6446","0","0","0"
"31","6140","6140","6140","1","1","1","5359","5359","5359","1","1","1","5586","5586","5586","1","1","1","6448","6448","6448","1","1","1"
"32","6142","6142","6142","1","1","1","5361","5361","5361","0.8","0.8","0.8","5588","5588","5588","1","1","1","6450","6450","6450","1","1","1"
"33","6144","6144","6144","1","1","1","5363","5363","5363","1","1","1","5590","5590","5590","1","1","1","6452","6452","6452","1","1","1"
"34","6146","6146","6146","1","1","1","5365","5365","5365","1","1","1","5592","5592","5592","1","1","1","6454","6454","6454","1","1","1"
"35","6148","6148","6148","1","1","1","5367","5367","5367","1","1","1","5594","5594","5594","1","1","1","6456","6456","6456","0.8","0.8","0.8"
"36","6314","6314","6314","0","0","0","5499","5499","5499","0","0","0","5740","5740","5740","0","0","0","6624","6624","6624","0","0","0"
"37","6316","6316","6316","1","1","1","5501","5501","5501","1","1","1","5742","5742","5742","1","1","1","6626","6626","6626","1","1","1"
"38","6318","6318","6318","1","1","1","5503","5503","5503","1","1","1","5744","5744","5744","1","1","1","6628","6628","6628","1","1","1"
"39","6320","6320","6320","1","1","1","5505","5505","5505","0","0","0","5746","5746","5746","0","0","0","6630","6630","6630","0","0","0"
"40","6322","6322","6322","1","1","1","5507","5507","5507","0.8","0.8","0.8","5748","5748","5748","1","1","1","6632","6632","6632","0.8","0.8","0.8"
"41","6324","6324","6324","1","1","1","5509","5509","5509","1","1","1","5750","5750","5750","1","1","1","6634","6634","6634","1","1","1"
"42","6326","6326","6326","1","1","1","5511","5511","5511","1","1","1","5752","5752","5752","1","1","1","6636","6636","6636","1","1","1"
"43","6328","6328","6328","1","1","1","5513","5513","5513","1","1","1","5754","5754","5754","1","1","1","6638","6638","6638","1","1","1"
"44","6330","6330","6330","1","1","1","5515","5515","5515","1","1","1","5756","5756","5756","1","1","1","6640","6640","6640","1","1","1"
"45","6494","6494","6494","0","0","0","5649","5649","5649","0","0","0","5894","5894","5894","1","1","1","6805","6805","6805","0","0","0"
"46","6496","6496","6496","1","1","1","5651","5651","5651","1","1","1","5896","5896","5896","1","1","1","6807","6807","6807","1","1","1"
"47","6498","6498","6498","1","1","1","5653","5653","5653","1","1","1","5898","5898","5898","1","1","1","6809","6809","6809","1","1","1"
"48","6500","6500","6500","1","1","1","5655","5655","5655","1","1","1","5900","5900","5900","1","1","1","6811","6811","6811","0","0","0"
"49","6502","6502","6502","0.8","0.8","0.8","5657","5657","5657","0.8","0.8","0.8","5902","5902","5902","0.8","0.8","0.8","6813","6813","6813","1","1","1"
"50","6504","6504","6504","1","1","1","5659","5659","5659","0.8","0.8","0.8","5904","5904","5904","0.8","0.8","0.8","6815","6815","6815","1","1","1"
"51","6506","6506","6506","1","1","1","5661","5661","5661","1","1","1","5906","5906","5906","1","1","1","6817","6817","6817","1","1","1"
"52","6508","6508","6508","1","1","1","5663","5663","5663","1","1","1","5908","5908","5908","1","1","1","6819","6819","6819","1","1","1"
"53","6510","6510","6510","1","1","1","5665","5665","5665","1","1","1","5910","5910","5910","1","1","1","6821","6821","6821","1","1","1"
"54","6671","6671","6671","1","1","1","5799","5799","5799","0","0","0","6048","6048","6048","1","1","1","6994","6994","6994","0","0","0"
"55","6673","6673","6673","1","1","1","5801","5801","5801","1","1","1","6050","6050","6050","1","1","1","6996","6996","6996","1","1","1"
"56","6675","6675","6675","1","1","1","5803","5803","5803","1","1","1","6052","6052","6052","1","1","1","6998","6998","6998","1","1","1"
"57","6677","6677","6677","1","1","1","5805","5805","5805","1","1","1","6054","6054","6054","1","1","1","7000","7000","7000","1","1","1"
"58","6679","6679","6679","1","1","1","5807","5807","5807","1","1","1","6056","6056","6056","0.8","0.8","0.8","7002","7002","7002","0.8","0.8","0.8"
"59","6681","6681","6681","1","1","1","5809","5809","5809","1","1","1","6058","6058","6058","1","1","1","7004","7004","7004","1","1","1"
"60","6683","6683","6683","1","1","1","5811","5811","5811","1","1","1","6060","6060","6060","1","1","1","7006","7006","7006","1","1","1"
"61","6685","6685","6685","1","1","1","5813","5813","5813","1","1","1","6062","6062","6062","1","1","1","7008","7008","7008","1","1","1"
"62","6687","6687","6687","1","1","1","5815","5815","5815","1","1","1","6064","6064","6064","1","1","1","7010","7010","7010","1","1","1"
"63","6846","6846","6846","1","1","1","5947","5947","5947","1","1","1","6200","6200","6200","1","1","1","7170","7170","7170","1","1","1"
"64","6848","6848","6848","1","1","1","5949","5949","5949","1","1","1","6202","6202","6202","1","1","1","7172","7172","7172","1","1","1"
"65","6850","6850","6850","1","1","1","5951","5951","5951","1","1","1","6204","6204","6204","1","1","1","7174","7174","7174","1","1","1"
"66","6852","6852","6852","1","1","1","5953","5953","5953","1","1","1","6206","6206","6206","1","1","1","7176","7176","7176","1","1","1"
"67","6854","6854","6854","1","1","1","5955","5955","5955","1","1","1","6208","6208","6208","1","1","1","7178","7178","7178","1","1","1"
"68","6856","6856","6856","1","1","1","5957","5957","5957","1","1","1","6210","6210","6210","1","1","1","7180","7180","7180","1","1","1"
"69","6858","6858","6858","1","1","1","5959","5959","5959","1","1","1","6212","6212","6212","1","1","1","7182","7182","7182","1","1","1"
"70","6860","6860","6860","1","1","1","5961","5961","5961","1","1","1","6214","6214","6214","1","1","1","7184","7184","7184","1","1","1"
"71","6862","6862","6862","1","1","1","5963","5963","5963","1","1","1","6216","6216","6216","1","1","1","7186","7186","7186","1","1","1"
"72","7025","7025","7025","1","1","1","6094","6094","6094","0","0","0","6354","6354","6354","1","1","1","7351","7351","7351","0","0","0"
"73","7027","7027","7027","1","1","1","6096","6096","6096","1","1","1","6356","6356","6356","1","1","1","7353","7353","7353","1","1","1"
"74","7029","7029","7029","1","1","1","6098","6098","6098","1","1","1","6358","6358","6358","1","1","1","7355","7355","7355","1","1","1"
"75","7031","7031","7031","1","1","1","6100","6100","6100","1","1","1","6360","6360","6360","1","1","1","7357","7357","7357","1","1","1"
"76","7033","7033","7033","1","1","1","6102","6102","6102","1","1","1","6362","6362","6362","0.8","0.8","0.8","7359","7359","7359","0.8","0.8","0.8"
"77","7035","7035","7035","1","1","1","6104","6104","6104","0.8","0.8","0.8","6364","6364","6364","1","1","1","7361","7361","7361","1","1","1"
"78","7037","7037","7037","1","1","1","6106","6106","6106","1","1","1","6366","6366","6366","1","1","1","7363","7363","7363","1","1","1"
"79","7039","7039","7039","1","1","1","6108","6108","6108","1","1","1","6368","6368","6368","1","1","1","7365","7365","7365","1","1","1"
"80","7041","7041","7041","1","1","1","6110","6110","6110","1","1","1","6370","6370","6370","1","1","1","7367","7367","7367","1","1","1"
"81","7200","7200","7200","1","1","1","6238","6238","6238","1","1","1","6508","6508","6508","0.8","0.8","0.8","7525","7525","7525","1","1","1"
"82","7202","7202","7202","1","1","1","6240","6240","6240","1","1","1","6510","6510","6510","1","1","1","7527","7527","7527","0.8","0.8","0.8"
"83","7204","7204","7204","1","1","1","6242","6242","6242","1","1","1","6512","6512","6512","1","1","1","7529","7529","7529","0.8","0.8","0.8"
"84","7206","7206","7206","1","1","1","6244","6244","6244","1","1","1","6514","6514","6514","1","1","1","7531","7531","7531","1","1","1"
"85","7208","7208","7208","1","1","1","6246","6246","6246","1","1","1","6516","6516","6516","1","1","1","7533","7533","7533","1","1","1"
"86","7210","7210","7210","0.8","0.8","0.8","6248","6248","6248","1","1","1","6518","6518","6518","1","1","1","7535","7535","7535","1","1","1"
"87","7212","7212","7212","1","1","1","6250","6250","6250","1","1","1","6520","6520","6520","1","1","1","7537","7537","7537","1","1","1"
"88","7214","7214","7214","1","1","1","6252","6252","6252","1","1","1","6522","6522","6522","1","1","1","7539","7539","7539","1","1","1"
"89","7216","7216","7216","1","1","1","6254","6254","6254","1","1","1","6524","6524","6524","1","1","1","7541","7541","7541","1","1","1"
"90","7375","7375","7375","1","1","1","6390","6390","6390","0","0","0","6663","6663","6663","1","1","1","7699","7699","7699","1","1","1"
"91","7377","7377","7377","1","1","1","6392","6392","6392","1","1","1","6665","6665","6665","1","1","1","7701","7701","7701","1","1","1"
"92","7379","7379","7379","1","1","1","6394","6394","6394","1","1","1","6667","6667","6667","1","1","1","7703","7703","7703","1","1","1"
"93","7381","7381","7381","1","1","1","6396","6396","6396","1","1","1","6669","6669","6669","1","1","1","7705","7705","7705","1","1","1"
"94","7383","7383","7383","1","1","1","6398","6398","6398","1","1","1","6671","6671","6671","1","1","1","7707","7707","7707","1","1","1"
"95","7385","7385","7385","0.8","0.8","0.8","6400","6400","6400","1","1","1","6673","6673","6673","0.8","0.8","0.8","7709","7709","7709","0.8","0.8","0.8"
"96","7387","7387","7387","1","1","1","6402","6402","6402","1","1","1","6675","6675","6675","1","1","1","7711","7711","7711","1","1","1"
"97","7389","7389","7389","1","1","1","6404","6404","6404","1","1","1","6677","6677","6677","1","1","1","7713","7713","7713","1","1","1"
"98","7391","7391","7391","1","1","1","6406","6406","6406","1","1","1","6679","6679","6679","1","1","1","7715","7715","7715","1","1","1"
"99","7551","7551","7551","1","1","1","6536","6536","6536","1","1","1","6817","6817","6817","1","1","1","7873","7873","7873","1","1","1"
"100","7553","7553","7553","1","1","1","6538","6538","6538","1","1","1","6819","6819","6819","1","1","1","7875","7875","7875","1","1","1"
"101","7555","7555","7555","1","1","1","6540","6540","6540","0.8","0.8","0.8","6821","6821","6821","1","1","1","7877","7877","7877","1","1","1"
"102","7557","7557","7557","1","1","1","6542","6542","6542","1","1","1","6823","6823","6823","1","1","1","7879","7879","7879","1","1","1"
"103","7559","7559","7559","1","1","1","6544","6544","6544","0.8","0.8","0.8","6825","6825","6825","1","1","1","7881","7881","7881","1","1","1"
"104","7561","7561","7561","1","1","1","6546","6546","6546","1","1","1","6827","6827","6827","1","1","1","7883","7883","7883","1","1","1"
"105","7563","7563","7563","1","1","1","6548","6548","6548","1","1","1","6829","6829","6829","1","1","1","7885","7885","7885","1","1","1"
"106","7565","7565","7565","1","1","1","6550","6550","6550","1","1","1","6831","6831","6831","1","1","1","7887","7887","7887","1","1","1"
"107","7567","7567","7567","1","1","1","6552","6552","6552","1","1","1","6833","6833","6833","1","1","1","7889","7889","7889","1","1","1"
"108","7724","7724","7724","1","1","1","6681","6681","6681","1","1","1","6975","6975","6975","1","1","1","8050","8050","8050","0.8","0.8","0.8"
"109","7726","7726","7726","1","1","1","6683","6683","6683","0.8","0.8","0.8","6977","6977","6977","1","1","1","8052","8052","8052","1","1","1"
"110","7728","7728","7728","1","1","1","6685","6685","6685","0.8","0.8","0.8","6979","6979","6979","1","1","1","8054","8054","8054","1","1","1"
"111","7730","7730","7730","1","1","1","6687","6687","6687","1","1","1","6981","6981","6981","1","1","1","8056","8056","8056","1","1","1"
"112","7732","7732","7732","1","1","1","6689","6689","6689","1","1","1","6983","6983","6983","1","1","1","8058","8058","8058","1","1","1"
"113","7734","7734","7734","1","1","1","6691","6691","6691","1","1","1","6985","6985","6985","1","1","1","8060","8060","8060","1","1","1"
"114","7736","7736","7736","1","1","1","6693","6693","6693","1","1","1","6987","6987","6987","1","1","1","8062","8062","8062","1","1","1"
"115","7738","7738","7738","1","1","1","6695","6695","6695","1","1","1","6989","6989","6989","1","1","1","8064","8064","8064","1","1","1"
"116","7740","7740","7740","1","1","1","6697","6697","6697","1","1","1","6991","6991","6991","1","1","1","8066","8066","8066","1","1","1"
"117","7900","7900","7900","0.8","0.8","0.8","6827","6827","6827","1","1","1","7130","7130","7130","1","1","1","8224","8224","8224","1","1","1"
"118","7902","7902","7902","1","1","1","6829","6829","6829","0.8","0.8","0.8","7132","7132","7132","0.8","0.8","0.8","8226","8226","8226","1","1","1"
"119","7904","7904","7904","1","1","1","6831","6831","6831","1","1","1","7134","7134","7134","1","1","1","8228","8228","8228","1","1","1"
"120","7906","7906","7906","1","1","1","6833","6833","6833","1","1","1","7136","7136","7136","1","1","1","8230","8230","8230","1","1","1"
"121","7908","7908","7908","1","1","1","6835","6835","6835","1","1","1","7138","7138","7138","1","1","1","8232","8232","8232","1","1","1"
"122","7910","7910","7910","0.8","0.8","0.8","6837","6837","6837","1","1","1","7140","7140","7140","1","1","1","8234","8234","8234","1","1","1"
"123","7912","7912","7912","1","1","1","6839","6839","6839","1","1","1","7142","7142","7142","1","1","1","8236","8236","8236","1","1","1"
"124","7914","7914","7914","1","1","1","6841","6841","6841","1","1","1","7144","7144","7144","1","1","1","8238","8238","8238","1","1","1"
"125","7916","7916","7916","1","1","1","6843","6843","6843","1","1","1","7146","7146","7146","1","1","1","8240","8240","8240","1","1","1"
"126","8080","8080","8080","1","1","1","6976","6976","6976","1","1","1","7288","7288","7288","0","0","0","8402","8402","8402","1","1","1"
"127","8082","8082","8082","1","1","1","6978","6978","6978","1","1","1","7290","7290","7290","1","1","1","8404","8404","8404","1","1","1"
"128","8084","8084","8084","1","1","1","6980","6980","6980","1","1","1","7292","7292","7292","1","1","1","8406","8406","8406","1","1","1"
"129","8086","8086","8086","1","1","1","6982","6982","6982","1","1","1","7294","7294","7294","0.8","0.8","0.8","8408","8408","8408","1","1","1"
"130","8088","8088","8088","1","1","1","6984","6984","6984","1","1","1","7296","7296","7296","1","1","1","8410","8410","8410","1","1","1"
"131","8090","8090","8090","1","1","1","6986","6986","6986","1","1","1","7298","7298","7298","1","1","1","8412","8412","8412","1","1","1"
"132","8092","8092","8092","1","1","1","6988","6988","6988","1","1","1","7300","7300","7300","1","1","1","8414","8414","8414","1","1","1"
"133","8094","8094","8094","0.9","0.9","0.9","6990","6990","6990","1","1","1","7302","7302","7302","1","1","1","8416","8416","8416","1","1","1"
"134","8096","8096","8096","1","1","1","6992","6992","6992","1","1","1","7304","7304","7304","0.9","0.9","0.9","8418","8418","8418","1","1","1"
"135","8254","8254","8254","0.8","0.8","0.8","7121","7121","7121","0.8","0.8","0.8","7443","7443","7443","0.8","0.8","0.8","8579","8579","8579","0","0","0"
"136","8256","8256","8256","1","1","1","7123","7123","7123","0.8","0.8","0.8","7445","7445","7445","1","1","1","8581","8581","8581","1","1","1"
"137","8258","8258","8258","1","1","1","7125","7125","7125","0.8","0.8","0.8","7447","7447","7447","1","1","1","8583","8583","8583","1","1","1"
"138","8260","8260","8260","1","1","1","7127","7127","7127","1","1","1","7449","7449","7449","1","1","1","8585","8585","8585","1","1","1"
"139","8262","8262","8262","1","1","1","7129","7129","7129","1","1","1","7451","7451","7451","1","1","1","8587","8587","8587","1","1","1"
"140","8264","8264","8264","1","1","1","7131","7131","7131","0.8","0.8","0.8","7453","7453","7453","1","1","1","8589","8589","8589","1","1","1"
"141","8266","8266","8266","1","1","1","7133","7133","7133","1","1","1","7455","7455","7455","1","1","1","8591","8591","8591","1","1","1"
"142","8268","8268","8268","1","1","1","7135","7135","7135","1","1","1","7457","7457","7457","1","1","1","8593","8593","8593","1","1","1"
"143","8270","8270","8270","1","1","1","7137","7137","7137","0.9","0.9","0.9","7459","7459","7459","1","1","1","8595","8595","8595","1","1","1"
"144","8431","8431","8431","1","1","1","7272","7272","7272","1","1","1","7601","7601","7601","1","1","1","8759","8759","8759","0.8","0.8","0.8"
"145","8433","8433","8433","1","1","1","7274","7274","7274","1","1","1","7603","7603","7603","0.8","0.8","0.8","8761","8761","8761","1","1","1"
"146","8435","8435","8435","0.8","0.8","0.8","7276","7276","7276","0.8","0.8","0.8","7605","7605","7605","0.8","0.8","0.8","8763","8763","8763","1","1","1"
"147","8437","8437","8437","1","1","1","7278","7278","7278","1","1","1","7607","7607","7607","0.8","0.8","0.8","8765","8765","8765","0.8","0.8","0.8"
"148","8439","8439","8439","1","1","1","7280","7280","7280","1","1","1","7609","7609","7609","0.8","0.8","0.8","8767","8767","8767","1","1","1"
"149","8441","8441","8441","1","1","1","7282","7282","7282","0.8","0.8","0.8","7611","7611","7611","0.8","0.8","0.8","8769","8769","8769","1","1","1"
"150","8443","8443","8443","1","1","1","7284","7284","7284","1","1","1","7613","7613","7613","1","1","1","8771","8771","8771","1","1","1"
"151","8445","8445","8445","1","1","1","7286","7286","7286","1","1","1","7615","7615","7615","1","1","1","8773","8773","8773","1","1","1"
"152","8447","8447","8447","1","1","1","7288","7288","7288","1","1","1","7617","7617","7617","1","1","1","8775","8775","8775","1","1","1"
"153","8605","8605","8605","1","1","1","7418","7418","7418","1","1","1","7754","7754","7754","1","1","1","8939","8939","8939","1","1","1"
"154","8607","8607","8607","1","1","1","7420","7420","7420","1","1","1","7756","7756","7756","1","1","1","8941","8941","8941","1","1","1"
"155","8609","8609","8609","1","1","1","7422","7422","7422","1","1","1","7758","7758","7758","1","1","1","8943","8943","8943","1","1","1"
"156","8611","8611","8611","1","1","1","7424","7424","7424","1","1","1","7760","7760","7760","0.8","0.8","0.8","8945","8945","8945","1","1","1"
"157","8613","8613","8613","1","1","1","7426","7426","7426","1","1","1","7762","7762","7762","1","1","1","8947","8947","8947","1","1","1"
"158","8615","8615","8615","0.8","0.8","0.8","7428","7428","7428","0.8","0.8","0.8","7764","7764","7764","0.8","0.8","0.8","8949","8949","8949","1","1","1"
"159","8617","8617","8617","1","1","1","7430","7430","7430","1","1","1","7766","7766","7766","1","1","1","8951","8951","8951","1","1","1"
"160","8619","8619","8619","1","1","1","7432","7432","7432","1","1","1","7768","7768","7768","1","1","1","8953","8953","8953","1","1","1"
"161","8621","8621","8621","1","1","1","7434","7434","7434","1","1","1","7770","7770","7770","1","1","1","8955","8955","8955","1","1","1"
"162","8786","8786","8786","0.8","0.8","0.8","7565","7565","7565","1","1","1","7912","7912","7912","1","1","1","9113","9113","9113","0.8","0.8","0.8"
"163","8788","8788","8788","1","1","1","7567","7567","7567","1","1","1","7914","7914","7914","1","1","1","9115","9115","9115","1","1","1"
"164","8790","8790","8790","0.8","0.8","0.8","7569","7569","7569","1","1","1","7916","7916","7916","0.8","0.8","0.8","9117","9117","9117","1","1","1"
"165","8792","8792","8792","1","1","1","7571","7571","7571","1","1","1","7918","7918","7918","0.8","0.8","0.8","9119","9119","9119","1","1","1"
"166","8794","8794","8794","1","1","1","7573","7573","7573","0.8","0.8","0.8","7920","7920","7920","1","1","1","9121","9121","9121","1","1","1"
"167","8796","8796","8796","1","1","1","7575","7575","7575","1","1","1","7922","7922","7922","0.8","0.8","0.8","9123","9123","9123","1","1","1"
"168","8798","8798","8798","1","1","1","7577","7577","7577","1","1","1","7924","7924","7924","1","1","1","9125","9125","9125","1","1","1"
"169","8800","8800","8800","1","1","1","7579","7579","7579","1","1","1","7926","7926","7926","1","1","1","9127","9127","9127","1","1","1"
"170","8802","8802","8802","1","1","1","7581","7581","7581","0.9","0.9","0.9","7928","7928","7928","1","1","1","9129","9129","9129","1","1","1"
"171","8960","8960","8960","1","1","1","7711","7711","7711","0.8","0.8","0.8","8069","8069","8069","1","1","1","9293","9293","9293","0.8","0.8","0.8"
"172","8962","8962","8962","0.8","0.8","0.8","7713","7713","7713","1","1","1","8071","8071","8071","1","1","1","9295","9295","9295","1","1","1"
"173","8964","8964","8964","1","1","1","7715","7715","7715","0.8","0.8","0.8","8073","8073","8073","1","1","1","9297","9297","9297","0.8","0.8","0.8"
"174","8966","8966","8966","1","1","1","7717","7717","7717","1","1","1","8075","8075","8075","1","1","1","9299","9299","9299","0.8","0.8","0.8"
"175","8968","8968","8968","1","1","1","7719","7719","7719","1","1","1","8077","8077","8077","1","1","1","9301","9301","9301","1","1","1"
"176","8970","8970","8970","1","1","1","7721","7721","7721","1","1","1","8079","8079","8079","1","1","1","9303","9303","9303","1","1","1"
"177","8972","8972","8972","1","1","1","7723","7723","7723","1","1","1","8081","8081","8081","1","1","1","9305","9305","9305","1","1","1"
"178","8974","8974","8974","0.8","0.8","0.8","7725","7725","7725","1","1","1","8083","8083","8083","1","1","1","9307","9307","9307","1","1","1"
"179","8976","8976","8976","1","1","1","7727","7727","7727","1","1","1","8085","8085","8085","1","1","1","9309","9309","9309","1","1","1"
"180","9135","9135","9135","0.8","0.8","0.8","7858","7858","7858","0.8","0.8","0.8","8222","8222","8222","1","1","1","9472","9472","9472","0.8","0.8","0.8"
"181","9137","9137","9137","1","1","1","7860","7860","7860","1","1","1","8224","8224","8224","1","1","1","9474","9474","9474","1","1","1"
