"Evaluate/step_episode","1e-5_rainbowepsilon_2024-12-19_12-45-13 - _step","1e-5_rainbowepsilon_2024-12-19_12-45-13 - _step__MIN","1e-5_rainbowepsilon_2024-12-19_12-45-13 - _step__MAX","1e-5_rainbowepsilon_2024-12-19_12-45-13 - Evaluate/EpProgress","1e-5_rainbowepsilon_2024-12-19_12-45-13 - Evaluate/EpProgress__MIN","1e-5_rainbowepsilon_2024-12-19_12-45-13 - Evaluate/EpProgress__MAX","le-3_rainbowepsilon_2024-12-18_13-26-06 - _step","le-3_rainbowepsilon_2024-12-18_13-26-06 - _step__MIN","le-3_rainbowepsilon_2024-12-18_13-26-06 - _step__MAX","le-3_rainbowepsilon_2024-12-18_13-26-06 - Evaluate/EpProgress","le-3_rainbowepsilon_2024-12-18_13-26-06 - Evaluate/EpProgress__MIN","le-3_rainbowepsilon_2024-12-18_13-26-06 - Evaluate/EpProgress__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - _step__MAX","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MIN","epsilon_FactoryTaskAllocationMiC_2024-12-08_17-36-58 - Evaluate/EpProgress__MAX"
"50","6509","6509","6509","0.8","0.8","0.8","6501","6501","6501","1","1","1","6815","6815","6815","1","1","1"
"51","6511","6511","6511","1","1","1","6503","6503","6503","1","1","1","6817","6817","6817","1","1","1"
"52","6513","6513","6513","0.8","0.8","0.8","6505","6505","6505","1","1","1","6819","6819","6819","1","1","1"
"53","6515","6515","6515","1","1","1","6507","6507","6507","0.8","0.8","0.8","6821","6821","6821","1","1","1"
"54","6682","6682","6682","0","0","0","6665","6665","6665","0","0","0","6994","6994","6994","0","0","0"
"55","6684","6684","6684","1","1","1","6667","6667","6667","1","1","1","6996","6996","6996","1","1","1"
"56","6686","6686","6686","1","1","1","6669","6669","6669","1","1","1","6998","6998","6998","1","1","1"
"57","6688","6688","6688","1","1","1","6671","6671","6671","1","1","1","7000","7000","7000","1","1","1"
"58","6690","6690","6690","0.8","0.8","0.8","6673","6673","6673","1","1","1","7002","7002","7002","0.8","0.8","0.8"
"59","6692","6692","6692","1","1","1","6675","6675","6675","1","1","1","7004","7004","7004","1","1","1"
"60","6694","6694","6694","1","1","1","6677","6677","6677","1","1","1","7006","7006","7006","1","1","1"
"61","6696","6696","6696","1","1","1","6679","6679","6679","0.8","0.8","0.8","7008","7008","7008","1","1","1"
"62","6698","6698","6698","1","1","1","6681","6681","6681","1","1","1","7010","7010","7010","1","1","1"
"63","6860","6860","6860","0","0","0","6851","6851","6851","0","0","0","7170","7170","7170","1","1","1"
"64","6862","6862","6862","1","1","1","6853","6853","6853","1","1","1","7172","7172","7172","1","1","1"
"65","6864","6864","6864","1","1","1","6855","6855","6855","1","1","1","7174","7174","7174","1","1","1"
"66","6866","6866","6866","1","1","1","6857","6857","6857","1","1","1","7176","7176","7176","1","1","1"
"67","6868","6868","6868","1","1","1","6859","6859","6859","1","1","1","7178","7178","7178","1","1","1"
"68","6870","6870","6870","1","1","1","6861","6861","6861","1","1","1","7180","7180","7180","1","1","1"
"69","6872","6872","6872","1","1","1","6863","6863","6863","1","1","1","7182","7182","7182","1","1","1"
"70","6874","6874","6874","1","1","1","6865","6865","6865","1","1","1","7184","7184","7184","1","1","1"
"71","6876","6876","6876","1","1","1","6867","6867","6867","0.8","0.8","0.8","7186","7186","7186","1","1","1"
"72","7047","7047","7047","0","0","0","7032","7032","7032","0","0","0","7351","7351","7351","0","0","0"
"73","7049","7049","7049","1","1","1","7034","7034","7034","1","1","1","7353","7353","7353","1","1","1"
"74","7051","7051","7051","1","1","1","7036","7036","7036","1","1","1","7355","7355","7355","1","1","1"
"75","7053","7053","7053","1","1","1","7038","7038","7038","1","1","1","7357","7357","7357","1","1","1"
"76","7055","7055","7055","0.8","0.8","0.8","7040","7040","7040","1","1","1","7359","7359","7359","0.8","0.8","0.8"
"77","7057","7057","7057","0.8","0.8","0.8","7042","7042","7042","1","1","1","7361","7361","7361","1","1","1"
"78","7059","7059","7059","1","1","1","7044","7044","7044","1","1","1","7363","7363","7363","1","1","1"
"79","7061","7061","7061","1","1","1","7046","7046","7046","1","1","1","7365","7365","7365","1","1","1"
"80","7063","7063","7063","1","1","1","7048","7048","7048","1","1","1","7367","7367","7367","1","1","1"
"81","7221","7221","7221","0","0","0","7219","7219","7219","0","0","0","7525","7525","7525","1","1","1"
"82","7223","7223","7223","1","1","1","7221","7221","7221","1","1","1","7527","7527","7527","0.8","0.8","0.8"
"83","7225","7225","7225","1","1","1","7223","7223","7223","1","1","1","7529","7529","7529","0.8","0.8","0.8"
"84","7227","7227","7227","1","1","1","7225","7225","7225","1","1","1","7531","7531","7531","1","1","1"
"85","7229","7229","7229","0.8","0.8","0.8","7227","7227","7227","1","1","1","7533","7533","7533","1","1","1"
"86","7231","7231","7231","0.8","0.8","0.8","7229","7229","7229","1","1","1","7535","7535","7535","1","1","1"
"87","7233","7233","7233","1","1","1","7231","7231","7231","1","1","1","7537","7537","7537","1","1","1"
"88","7235","7235","7235","1","1","1","7233","7233","7233","1","1","1","7539","7539","7539","1","1","1"
"89","7237","7237","7237","1","1","1","7235","7235","7235","1","1","1","7541","7541","7541","1","1","1"
"90","7401","7401","7401","1","1","1","7397","7397","7397","0","0","0","7699","7699","7699","1","1","1"
"91","7403","7403","7403","1","1","1","7399","7399","7399","1","1","1","7701","7701","7701","1","1","1"
"92","7405","7405","7405","1","1","1","7401","7401","7401","1","1","1","7703","7703","7703","1","1","1"
"93","7407","7407","7407","1","1","1","7403","7403","7403","1","1","1","7705","7705","7705","1","1","1"
"94","7409","7409","7409","1","1","1","7405","7405","7405","0.8","0.8","0.8","7707","7707","7707","1","1","1"
"95","7411","7411","7411","1","1","1","7407","7407","7407","1","1","1","7709","7709","7709","0.8","0.8","0.8"
"96","7413","7413","7413","1","1","1","7409","7409","7409","1","1","1","7711","7711","7711","1","1","1"
"97","7415","7415","7415","1","1","1","7411","7411","7411","1","1","1","7713","7713","7713","1","1","1"
"98","7417","7417","7417","1","1","1","7413","7413","7413","1","1","1","7715","7715","7715","1","1","1"
"99","7580","7580","7580","1","1","1","7578","7578","7578","0","0","0","7873","7873","7873","1","1","1"
"100","7582","7582","7582","1","1","1","7580","7580","7580","1","1","1","7875","7875","7875","1","1","1"
"101","7584","7584","7584","1","1","1","7582","7582","7582","1","1","1","7877","7877","7877","1","1","1"
"102","7586","7586","7586","1","1","1","7584","7584","7584","1","1","1","7879","7879","7879","1","1","1"
"103","7588","7588","7588","1","1","1","7586","7586","7586","0.8","0.8","0.8","7881","7881","7881","1","1","1"
"104","7590","7590","7590","0.8","0.8","0.8","7588","7588","7588","1","1","1","7883","7883","7883","1","1","1"
"105","7592","7592","7592","1","1","1","7590","7590","7590","1","1","1","7885","7885","7885","1","1","1"
"106","7594","7594","7594","1","1","1","7592","7592","7592","1","1","1","7887","7887","7887","1","1","1"
"107","7596","7596","7596","1","1","1","7594","7594","7594","1","1","1","7889","7889","7889","1","1","1"
"108","7752","7752","7752","1","1","1","7766","7766","7766","0","0","0","8050","8050","8050","0.8","0.8","0.8"
"109","7754","7754","7754","1","1","1","7768","7768","7768","1","1","1","8052","8052","8052","1","1","1"
"110","7756","7756","7756","1","1","1","7770","7770","7770","1","1","1","8054","8054","8054","1","1","1"
"111","7758","7758","7758","1","1","1","7772","7772","7772","1","1","1","8056","8056","8056","1","1","1"
"112","7760","7760","7760","1","1","1","7774","7774","7774","1","1","1","8058","8058","8058","1","1","1"
"113","7762","7762","7762","0.8","0.8","0.8","7776","7776","7776","0.8","0.8","0.8","8060","8060","8060","1","1","1"
"114","7764","7764","7764","1","1","1","7778","7778","7778","1","1","1","8062","8062","8062","1","1","1"
"115","7766","7766","7766","1","1","1","7780","7780","7780","1","1","1","8064","8064","8064","1","1","1"
"116","7768","7768","7768","1","1","1","7782","7782","7782","1","1","1","8066","8066","8066","1","1","1"
"117","7928","7928","7928","1","1","1","7951","7951","7951","0","0","0","8224","8224","8224","1","1","1"
"118","7930","7930","7930","1","1","1","7953","7953","7953","1","1","1","8226","8226","8226","1","1","1"
"119","7932","7932","7932","1","1","1","7955","7955","7955","1","1","1","8228","8228","8228","1","1","1"
"120","7934","7934","7934","1","1","1","7957","7957","7957","1","1","1","8230","8230","8230","1","1","1"
"121","7936","7936","7936","0.8","0.8","0.8","7959","7959","7959","1","1","1","8232","8232","8232","1","1","1"
"122","7938","7938","7938","1","1","1","7961","7961","7961","0.8","0.8","0.8","8234","8234","8234","1","1","1"
"123","7940","7940","7940","1","1","1","7963","7963","7963","1","1","1","8236","8236","8236","1","1","1"
"124","7942","7942","7942","1","1","1","7965","7965","7965","1","1","1","8238","8238","8238","1","1","1"
"125","7944","7944","7944","1","1","1","7967","7967","7967","1","1","1","8240","8240","8240","1","1","1"
"126","8099","8099","8099","1","1","1","8129","8129","8129","0","0","0","8402","8402","8402","1","1","1"
"127","8101","8101","8101","1","1","1","8131","8131","8131","1","1","1","8404","8404","8404","1","1","1"
"128","8103","8103","8103","1","1","1","8133","8133","8133","1","1","1","8406","8406","8406","1","1","1"
"129","8105","8105","8105","1","1","1","8135","8135","8135","0","0","0","8408","8408","8408","1","1","1"
"130","8107","8107","8107","1","1","1","8137","8137","8137","1","1","1","8410","8410","8410","1","1","1"
"131","8109","8109","8109","0.8","0.8","0.8","8139","8139","8139","0.8","0.8","0.8","8412","8412","8412","1","1","1"
"132","8111","8111","8111","1","1","1","8141","8141","8141","1","1","1","8414","8414","8414","1","1","1"
"133","8113","8113","8113","1","1","1","8143","8143","8143","1","1","1","8416","8416","8416","1","1","1"
"134","8115","8115","8115","1","1","1","8145","8145","8145","1","1","1","8418","8418","8418","1","1","1"
"135","8275","8275","8275","1","1","1","8309","8309","8309","1","1","1","8579","8579","8579","0","0","0"
"136","8277","8277","8277","1","1","1","8311","8311","8311","1","1","1","8581","8581","8581","1","1","1"
"137","8279","8279","8279","1","1","1","8313","8313","8313","1","1","1","8583","8583","8583","1","1","1"
"138","8281","8281","8281","1","1","1","8315","8315","8315","1","1","1","8585","8585","8585","1","1","1"
"139","8283","8283","8283","1","1","1","8317","8317","8317","0.8","0.8","0.8","8587","8587","8587","1","1","1"
"140","8285","8285","8285","1","1","1","8319","8319","8319","0.8","0.8","0.8","8589","8589","8589","1","1","1"
"141","8287","8287","8287","1","1","1","8321","8321","8321","1","1","1","8591","8591","8591","1","1","1"
"142","8289","8289","8289","1","1","1","8323","8323","8323","1","1","1","8593","8593","8593","1","1","1"
"143","8291","8291","8291","1","1","1","8325","8325","8325","1","1","1","8595","8595","8595","1","1","1"
"144","8450","8450","8450","1","1","1","8490","8490","8490","0","0","0","8759","8759","8759","0.8","0.8","0.8"
"145","8452","8452","8452","1","1","1","8492","8492","8492","1","1","1","8761","8761","8761","1","1","1"
"146","8454","8454","8454","1","1","1","8494","8494","8494","1","1","1","8763","8763","8763","1","1","1"
"147","8456","8456","8456","1","1","1","8496","8496","8496","1","1","1","8765","8765","8765","0.8","0.8","0.8"
"148","8458","8458","8458","1","1","1","8498","8498","8498","1","1","1","8767","8767","8767","1","1","1"
"149","8460","8460","8460","1","1","1","8500","8500","8500","0.8","0.8","0.8","8769","8769","8769","1","1","1"
"150","8462","8462","8462","1","1","1","8502","8502","8502","1","1","1","8771","8771","8771","1","1","1"
"151","8464","8464","8464","1","1","1","8504","8504","8504","1","1","1","8773","8773","8773","1","1","1"
"152","8466","8466","8466","1","1","1","8506","8506","8506","1","1","1","8775","8775","8775","1","1","1"
"153","8631","8631","8631","1","1","1","8672","8672","8672","0","0","0","8939","8939","8939","1","1","1"
"154","8633","8633","8633","1","1","1","8674","8674","8674","1","1","1","8941","8941","8941","1","1","1"
"155","8635","8635","8635","1","1","1","8676","8676","8676","1","1","1","8943","8943","8943","1","1","1"
"156","8637","8637","8637","1","1","1","8678","8678","8678","1","1","1","8945","8945","8945","1","1","1"
"157","8639","8639","8639","1","1","1","8680","8680","8680","1","1","1","8947","8947","8947","1","1","1"
"158","8641","8641","8641","1","1","1","8682","8682","8682","1","1","1","8949","8949","8949","1","1","1"
"159","8643","8643","8643","1","1","1","8684","8684","8684","1","1","1","8951","8951","8951","1","1","1"
"160","8645","8645","8645","0.8","0.8","0.8","8686","8686","8686","1","1","1","8953","8953","8953","1","1","1"
"161","8647","8647","8647","1","1","1","8688","8688","8688","1","1","1","8955","8955","8955","1","1","1"
"162","8807","8807","8807","1","1","1","8855","8855","8855","1","1","1","9113","9113","9113","0.8","0.8","0.8"
"163","8809","8809","8809","1","1","1","8857","8857","8857","1","1","1","9115","9115","9115","1","1","1"
"164","8811","8811","8811","0.8","0.8","0.8","8859","8859","8859","1","1","1","9117","9117","9117","1","1","1"
"165","8813","8813","8813","1","1","1","8861","8861","8861","1","1","1","9119","9119","9119","1","1","1"
"166","8815","8815","8815","1","1","1","8863","8863","8863","0.8","0.8","0.8","9121","9121","9121","1","1","1"
"167","8817","8817","8817","0.8","0.8","0.8","8865","8865","8865","0.8","0.8","0.8","9123","9123","9123","1","1","1"
"168","8819","8819","8819","1","1","1","8867","8867","8867","1","1","1","9125","9125","9125","1","1","1"
"169","8821","8821","8821","1","1","1","8869","8869","8869","1","1","1","9127","9127","9127","1","1","1"
"170","8823","8823","8823","1","1","1","8871","8871","8871","1","1","1","9129","9129","9129","1","1","1"
"171","8986","8986","8986","1","1","1","9037","9037","9037","0","0","0","9293","9293","9293","0.8","0.8","0.8"
"172","8988","8988","8988","1","1","1","9039","9039","9039","1","1","1","9295","9295","9295","1","1","1"
"173","8990","8990","8990","1","1","1","9041","9041","9041","1","1","1","9297","9297","9297","0.8","0.8","0.8"
"174","8992","8992","8992","1","1","1","9043","9043","9043","1","1","1","9299","9299","9299","0.8","0.8","0.8"
"175","8994","8994","8994","1","1","1","9045","9045","9045","1","1","1","9301","9301","9301","1","1","1"
"176","8996","8996","8996","1","1","1","9047","9047","9047","1","1","1","9303","9303","9303","1","1","1"
"177","8998","8998","8998","1","1","1","9049","9049","9049","1","1","1","9305","9305","9305","1","1","1"
"178","9000","9000","9000","0.8","0.8","0.8","9051","9051","9051","1","1","1","9307","9307","9307","1","1","1"
"179","9002","9002","9002","1","1","1","9053","9053","9053","1","1","1","9309","9309","9309","1","1","1"
"180","9160","9160","9160","1","1","1","9216","9216","9216","0","0","0","9472","9472","9472","0.8","0.8","0.8"
"181","9162","9162","9162","1","1","1","9218","9218","9218","1","1","1","9474","9474","9474","1","1","1"
"182","9164","9164","9164","1","1","1","9220","9220","9220","1","1","1","9476","9476","9476","1","1","1"
"183","9166","9166","9166","1","1","1","9222","9222","9222","1","1","1","9478","9478","9478","1","1","1"
"184","9168","9168","9168","1","1","1","9224","9224","9224","1","1","1","9480","9480","9480","1","1","1"
"185","9170","9170","9170","1","1","1","9226","9226","9226","0.8","0.8","0.8","9482","9482","9482","1","1","1"
"186","9172","9172","9172","1","1","1","9228","9228","9228","1","1","1","9484","9484","9484","1","1","1"
"187","9174","9174","9174","1","1","1","9230","9230","9230","1","1","1","9486","9486","9486","1","1","1"
"188","9176","9176","9176","1","1","1","9232","9232","9232","1","1","1","9488","9488","9488","1","1","1"
"189","9335","9335","9335","1","1","1","9398","9398","9398","0","0","0","9646","9646","9646","1","1","1"
"190","9337","9337","9337","1","1","1","9400","9400","9400","1","1","1","9648","9648","9648","1","1","1"
"191","9339","9339","9339","1","1","1","9402","9402","9402","1","1","1","9650","9650","9650","1","1","1"
"192","9341","9341","9341","1","1","1","9404","9404","9404","0","0","0","9652","9652","9652","1","1","1"
"193","9343","9343","9343","0.8","0.8","0.8","9406","9406","9406","0.8","0.8","0.8","9654","9654","9654","1","1","1"
"194","9345","9345","9345","0.8","0.8","0.8","9408","9408","9408","0.8","0.8","0.8","9656","9656","9656","1","1","1"
"195","9347","9347","9347","1","1","1","9410","9410","9410","1","1","1","9658","9658","9658","1","1","1"
"196","9349","9349","9349","1","1","1","9412","9412","9412","1","1","1","9660","9660","9660","1","1","1"
"197","9351","9351","9351","1","1","1","9414","9414","9414","1","1","1","9662","9662","9662","1","1","1"
"198","9509","9509","9509","1","1","1","9575","9575","9575","0","0","0","9822","9822","9822","0.8","0.8","0.8"
"199","9511","9511","9511","1","1","1","9577","9577","9577","1","1","1","9824","9824","9824","1","1","1"
"200","9513","9513","9513","1","1","1","9579","9579","9579","1","1","1","9826","9826","9826","1","1","1"
"201","9515","9515","9515","1","1","1","9581","9581","9581","1","1","1","9828","9828","9828","1","1","1"
"202","9517","9517","9517","1","1","1","9583","9583","9583","1","1","1","9830","9830","9830","1","1","1"
"203","9519","9519","9519","1","1","1","9585","9585","9585","1","1","1","9832","9832","9832","1","1","1"
"204","9521","9521","9521","1","1","1","9587","9587","9587","1","1","1","9834","9834","9834","1","1","1"
"205","9523","9523","9523","1","1","1","9589","9589","9589","1","1","1","9836","9836","9836","0.8","0.8","0.8"
"206","9525","9525","9525","1","1","1","9591","9591","9591","1","1","1","9838","9838","9838","1","1","1"
"207","9689","9689","9689","1","1","1","9751","9751","9751","1","1","1","9998","9998","9998","1","1","1"
"208","9691","9691","9691","1","1","1","9753","9753","9753","1","1","1","10000","10000","10000","1","1","1"
"209","9693","9693","9693","0.8","0.8","0.8","9755","9755","9755","1","1","1","10002","10002","10002","1","1","1"
"210","9695","9695","9695","1","1","1","9757","9757","9757","1","1","1","10004","10004","10004","1","1","1"
"211","9697","9697","9697","1","1","1","9759","9759","9759","1","1","1","10006","10006","10006","1","1","1"
"212","9699","9699","9699","1","1","1","9761","9761","9761","1","1","1","10008","10008","10008","1","1","1"
"213","9701","9701","9701","1","1","1","9763","9763","9763","1","1","1","10010","10010","10010","1","1","1"
"214","9703","9703","9703","1","1","1","9765","9765","9765","1","1","1","10012","10012","10012","1","1","1"
"215","9705","9705","9705","1","1","1","9767","9767","9767","1","1","1","10014","10014","10014","1","1","1"
"216","9863","9863","9863","1","1","1","9924","9924","9924","1","1","1","10174","10174","10174","1","1","1"
"217","9865","9865","9865","0.8","0.8","0.8","9926","9926","9926","1","1","1","10176","10176","10176","1","1","1"
"218","9867","9867","9867","0.8","0.8","0.8","9928","9928","9928","1","1","1","10178","10178","10178","1","1","1"
"219","9869","9869","9869","1","1","1","9930","9930","9930","1","1","1","10180","10180","10180","1","1","1"
"220","9871","9871","9871","1","1","1","9932","9932","9932","1","1","1","10182","10182","10182","0.8","0.8","0.8"
"221","9873","9873","9873","1","1","1","9934","9934","9934","1","1","1","10184","10184","10184","1","1","1"
"222","9875","9875","9875","1","1","1","9936","9936","9936","1","1","1","10186","10186","10186","1","1","1"
"223","9877","9877","9877","1","1","1","9938","9938","9938","1","1","1","10188","10188","10188","1","1","1"
"224","9879","9879","9879","1","1","1","9940","9940","9940","1","1","1","10190","10190","10190","1","1","1"
"225","10035","10035","10035","1","1","1","10099","10099","10099","0","0","0","10352","10352","10352","1","1","1"
"226","10037","10037","10037","0.8","0.8","0.8","10101","10101","10101","0.8","0.8","0.8","10354","10354","10354","1","1","1"
"227","10039","10039","10039","1","1","1","10103","10103","10103","0.8","0.8","0.8","10356","10356","10356","1","1","1"
"228","10041","10041","10041","1","1","1","10105","10105","10105","0","0","0","10358","10358","10358","1","1","1"
"229","10043","10043","10043","1","1","1","10107","10107","10107","1","1","1","10360","10360","10360","0.8","0.8","0.8"
"230","10045","10045","10045","1","1","1","10109","10109","10109","0.8","0.8","0.8","10362","10362","10362","1","1","1"
"231","10047","10047","10047","1","1","1","10111","10111","10111","0","0","0","10364","10364","10364","1","1","1"
"232","10049","10049","10049","1","1","1","10113","10113","10113","1","1","1","10366","10366","10366","1","1","1"
"233","10051","10051","10051","1","1","1","10115","10115","10115","1","1","1","10368","10368","10368","0.8","0.8","0.8"
"234","10209","10209","10209","1","1","1","10274","10274","10274","0","0","0","10529","10529","10529","1","1","1"
"235","10211","10211","10211","1","1","1","10276","10276","10276","1","1","1","10531","10531","10531","1","1","1"
"236","10213","10213","10213","1","1","1","10278","10278","10278","1","1","1","10533","10533","10533","1","1","1"
"237","10215","10215","10215","1","1","1","10280","10280","10280","1","1","1","10535","10535","10535","0.8","0.8","0.8"
"238","10217","10217","10217","1","1","1","10282","10282","10282","1","1","1","10537","10537","10537","1","1","1"
"239","10219","10219","10219","1","1","1","10284","10284","10284","1","1","1","10539","10539","10539","1","1","1"
"240","10221","10221","10221","1","1","1","10286","10286","10286","1","1","1","10541","10541","10541","1","1","1"
"241","10223","10223","10223","1","1","1","10288","10288","10288","1","1","1","10543","10543","10543","0.9","0.9","0.9"
"242","10225","10225","10225","1","1","1","10290","10290","10290","1","1","1","10545","10545","10545","1","1","1"
"243","10388","10388","10388","1","1","1","10452","10452","10452","0","0","0","10705","10705","10705","1","1","1"
"244","10390","10390","10390","1","1","1","10454","10454","10454","1","1","1","10707","10707","10707","1","1","1"
"245","10392","10392","10392","1","1","1","10456","10456","10456","1","1","1","10709","10709","10709","0.8","0.8","0.8"
